 Morbidade Hospitalar do SUS - por local de residência - Tocantins
Valor total por Município e Ano/mês atendimento
Lista Morb  CID-10: Dengue [dengue clásssico]
Período:Jan/2008-Fev/2021
"Município";"2007/Out";"2007/Nov";"2007/Dez";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"Total"
"170382 Cachoeirinha";-;-;-;-;269,60;940,92;-;539,20;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;-;325,71;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;319,76;-;295,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;303,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3282,47
"170384 Campos Lindos";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;-;-;-;303,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;-;-;-;-;-;431,67;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1310,95
"170386 Cariri do Tocantins";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;599,52;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;599,52
"170388 Carmolândia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;303,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;303,76
"170389 Carrasco Bonito";-;-;523,20;523,20;261,60;261,60;792,80;800,80;-;-;-;-;-;-;287,76;-;-;591,52;-;287,76;-;-;-;-;287,76;-;-;303,76;-;-;-;-;-;-;-;-;-;-;575,52;-;287,76;-;863,28;575,52;295,76;-;-;575,52;287,76;-;287,76;287,76;287,76;287,76;287,76;287,76;-;-;-;-;287,76;-;287,76;-;575,52;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;295,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;615,52;-;-;-;-;-;-;-;-;-;-;-;12459,52
"170390 Caseara";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;425,20;-;-;-;-;-;-;327,76;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1040,72
"170410 Centenário";-;-;-;293,60;-;-;261,60;-;-;-;-;-;-;287,76;-;-;-;287,76;287,76;-;575,52;-;-;-;-;-;-;287,76;-;-;887,48;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;334,11;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;558,19;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4061,54
"170510 Chapada da Natividade";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;311,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;295,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;373,87;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;981,39
"170460 Chapada de Areia";-;-;-;-;-;-;261,60;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;325,71;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;303,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1178,83
"170550 Colinas do Tocantins";-;-;1126,40;1025,16;4020,00;1046,40;4820,37;1112,30;792,80;-;261,60;-;549,36;303,76;287,76;1167,04;2406,08;1838,72;2458,14;4276,64;2110,52;895,28;575,52;-;287,76;2733,84;2138,50;1151,04;3581,12;3021,60;6001,35;4468,40;943,28;-;311,76;-;-;-;863,28;2398,08;575,52;1758,56;679,52;927,28;2877,60;1750,56;1462,80;1495,00;1734,56;863,28;2116,27;3549,12;5649,67;5043,92;4076,64;2987,55;863,28;-;-;287,76;287,76;-;607,52;287,76;863,28;591,52;4044,64;2901,60;591,52;-;-;287,76;-;1159,04;303,76;863,28;1175,04;4148,64;1486,80;2909,60;343,76;863,28;287,76;599,52;1199,04;4036,64;2036,33;303,76;-;7338,00;4768,87;3820,88;287,76;-;879,28;287,76;287,76;575,52;2946,74;1803,70;1151,04;583,52;583,52;-;607,52;287,76;-;-;-;-;287,76;287,76;1454,80;2677,84;575,52;1534,80;-;-;-;-;303,76;287,76;-;-;-;-;-;-;-;-;-;-;319,76;-;-;311,76;-;-;1183,04;903,28;575,52;287,76;615,52;-;-;-;-;311,76;-;287,76;-;287,76;-;-;-;-;-;-;-;168555,91
"171670 Colméia";-;-;261,60;2092,80;3400,80;2877,60;1569,60;523,20;-;-;-;-;-;-;-;10934,88;1726,56;3165,36;4316,40;1438,80;1438,80;-;-;-;319,76;-;575,52;287,76;-;-;575,52;-;327,76;-;-;287,76;-;-;-;-;-;-;287,76;287,76;287,76;287,76;-;-;-;287,76;-;-;-;287,76;863,28;287,76;-;-;-;-;-;-;-;-;575,52;287,76;1151,04;575,52;-;-;-;-;-;287,76;-;-;287,76;287,76;2077,86;311,96;-;-;-;-;-;-;-;-;-;-;575,52;287,76;-;-;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;46279,82
"170555 Combinado";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;303,76;863,28;575,52;3165,36;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;599,52;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;583,52;-;-;-;-;-;-;287,76;-;-;-;-;-;-;311,76;-;-;-;-;-;-;-;-;-;607,52;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;295,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7881,52
"170560 Conceição do Tocantins";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;-;-;303,76;-;-;-;-;-;-;-;-;-;-;311,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;883,34;-;287,76;303,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;303,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2681,90
"170600 Couto Magalhães";-;-;-;-;-;261,60;539,20;269,60;-;-;261,60;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;543,76;-;-;-;311,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;575,52;-;-;-;-;-;287,76;-;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;-;-;-;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;287,76;303,76;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;311,76;-;-;-;-;5680,64
"170610 Cristalândia";-;-;261,60;1046,40;-;523,20;1046,40;-;-;-;-;-;-;-;-;-;287,76;-;-;-;-;575,52;-;-;-;-;-;287,76;-;919,28;287,76;863,28;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;863,28;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;863,28;287,76;-;-;-;-;-;-;-;-;-;-;-;-;93,22;-;-;-;-;-;287,76;287,76;-;8782,02
"170625 Crixás do Tocantins";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76
"170650 Darcinópolis";-;-;-;277,60;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;303,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;311,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;893,12
"170700 Dianópolis";-;-;-;784,80;-;3662,40;261,60;523,20;-;-;-;-;-;-;863,28;287,76;287,76;-;1151,04;287,76;325,71;-;-;-;287,76;-;575,52;287,76;901,23;2014,32;3765,08;575,52;863,28;863,28;-;575,52;287,76;575,52;287,76;1438,80;1151,04;1438,80;2014,32;863,28;-;1175,24;287,76;-;1175,24;599,72;-;575,52;615,72;287,76;895,28;615,52;-;303,76;-;-;-;-;-;-;-;287,76;607,52;615,72;943,48;1236,99;287,76;-;-;-;-;287,76;-;615,52;645,47;-;623,72;303,76;287,76;-;-;-;591,52;-;-;-;651,58;1878,56;-;-;-;-;349,71;319,76;-;911,28;-;575,52;919,28;895,28;-;-;-;-;-;-;-;303,76;-;-;311,76;347,98;-;-;319,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;48852,35
"170710 Divinópolis do Tocantins";-;-;-;-;523,20;-;3139,20;1046,40;-;261,60;-;-;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;575,52;1151,04;287,76;-;-;-;-;-;-;-;-;-;575,52;-;287,76;-;-;-;287,76;-;1151,04;1191,04;-;747,71;-;1742,56;575,52;-;319,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;575,52;-;-;-;-;-;-;-;-;-;-;1151,04;863,28;287,76;1726,56;1226,94;863,28;-;2108,27;1742,56;1476,75;-;325,71;-;-;-;-;-;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;303,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;27665,86
"170720 Dois Irmãos do Tocantins";-;-;-;-;261,60;-;-;-;-;-;-;-;-;261,60;-;-;903,28;-;-;-;287,76;-;-;-;-;-;-;-;-;-;575,52;287,76;-;-;-;-;-;-;-;-;-;287,76;-;327,76;287,76;-;-;-;-;-;-;-;655,72;-;287,76;-;-;-;-;-;-;-;-;287,76;-;-;311,76;-;-;-;-;-;-;-;287,76;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5887,08
"170730 Dueré";-;-;-;523,20;261,60;-;261,60;-;-;-;-;-;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;-;287,76;-;863,28;575,52;-;287,76;-;-;-;-;-;-;575,52;575,52;-;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;1151,04;-;287,76;-;-;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7089,36
"170740 Esperantina";-;-;547,20;547,20;-;261,60;523,20;-;-;-;-;261,60;-;-;-;311,76;583,52;-;-;-;-;-;-;287,76;-;-;-;-;303,76;304,80;-;-;-;-;-;-;-;-;-;287,76;-;-;-;287,76;-;295,76;-;-;287,76;-;-;-;-;303,76;287,76;-;-;-;-;-;-;-;-;-;-;295,76;583,52;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;295,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6858,00
"170755 Fátima";-;-;-;802,60;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;311,76;-;-;-;-;-;-;-;-;-;-;-;431,64;-;-;-;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2121,52
"170765 Figueirópolis";-;-;-;-;-;-;539,20;261,60;-;-;-;-;-;-;-;-;287,76;-;-;-;295,76;-;-;-;-;-;-;-;-;-;2653,84;303,76;-;-;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;295,76;-;-;-;-;-;-;-;-;-;-;-;-;428,40;-;-;-;-;-;-;-;-;-;-;287,76;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5929,36
"170770 Filadélfia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;287,76;-;-;-;-;-;-;-;-;-;-;-;-;388,47;-;-;-;464,07;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;386,10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2389,68
"170820 Formoso do Araguaia";-;-;-;261,60;-;261,60;1046,40;-;-;-;-;-;-;-;-;295,76;-;-;-;-;-;-;287,76;-;-;583,52;-;1167,04;583,52;575,52;863,28;575,52;-;-;287,76;-;-;895,28;2046,32;287,76;287,76;1446,80;3501,12;287,76;575,52;-;-;-;-;-;287,76;591,52;295,76;895,28;287,76;287,76;-;-;-;287,76;-;871,28;2046,32;3419,59;6778,92;2650,06;1446,80;863,28;863,28;-;-;-;44,22;-;287,76;1151,04;575,52;44,22;287,76;871,28;599,52;-;-;-;-;287,76;331,98;-;-;-;1151,04;47,27;-;287,76;287,76;-;-;-;-;-;-;619,74;287,76;331,98;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;303,76;-;-;1173,94;-;661,47;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;47624,27
"170825 Fortaleza do Tabocão";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;-;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;287,76;287,76;-;-;319,76;-;-;-;-;-;-;-;-;-;-;-;-;351,96;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;303,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;295,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2422,28
"170830 Goianorte";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;575,52
"170900 Goiatins";-;-;-;873,80;261,60;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;303,76;-;-;-;-;-;-;-;-;-;-;-;325,71;-;-;-;-;-;-;287,76;-;287,76;-;287,76;-;-;-;-;-;-;-;-;-;-;287,76;287,76;575,52;575,52;575,52;-;-;-;287,76;575,52;-;863,28;-;287,76;935,48;287,76;-;303,76;-;-;-;287,76;-;287,76;-;575,52;-;-;-;-;-;-;-;-;-;-;-;-;287,76;287,76;-;-;-;-;-;-;324,90;612,66;-;324,90;-;-;-;-;-;-;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;287,76;-;287,76;-;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12611,61
"170930 Guaraí";-;-;-;873,80;261,60;-;261,60;-;-;-;-;-;-;-;-;287,76;303,76;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;327,76;740,63;1207,04;575,52;591,52;-;-;-;-;349,71;-;1175,04;863,28;-;879,28;887,48;-;-;-;-;-;-;-;393,93;-;-;598,87;-;357,71;287,76;-;-;-;-;-;-;-;-;287,76;-;-;-;907,33;-;-;-;-;-;311,76;44,22;287,76;-;-;-;287,76;287,76;-;623,52;599,52;295,76;-;1183,04;927,28;-;-;303,76;-;-;287,76;287,76;419,94;327,76;-;-;-;-;-;-;-;-;-;-;-;295,76;1774,56;3038,94;591,52;303,76;-;287,76;-;-;-;287,76;311,76;-;-;295,76;-;-;-;-;-;-;-;-;-;26369,84
"170950 Gurupi";-;-;-;261,60;261,60;285,60;261,60;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;607,52;303,76;-;-;-;-;-;-;911,28;919,28;1354,94;311,76;-;-;-;-;-;-;599,52;295,76;-;-;-;-;629,47;-;303,76;287,76;-;-;311,96;-;704,00;303,76;685,00;303,76;-;-;-;-;-;-;-;-;-;-;-;335,96;327,76;-;-;-;-;-;-;-;-;-;-;615,52;-;-;-;-;303,76;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;863,28;436,91;637,47;-;-;-;-;-;-;-;523,83;349,71;575,52;-;857,42;-;-;-;-;-;-;-;16306,35
"170980 Ipueiras";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;344,65;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;575,52;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;575,52;-;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2358,97
"171050 Itacajá";-;-;261,60;-;-;261,60;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;-;-;311,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;2589,84;1151,04;5467,44;1726,56;1438,80;287,76;-;575,52;2302,08;6618,48;3740,88;2014,32;575,52;3165,36;1438,80;1151,04;-;287,76;-;-;287,76;287,76;287,76;1151,04;2014,32;287,76;311,76;-;-;-;-;-;-;287,76;900,42;575,52;550,31;863,28;1438,80;287,76;-;-;-;-;-;-;-;-;287,76;287,76;-;-;-;-;-;-;-;-;-;-;1514,70;287,76;-;-;-;-;-;-;575,52;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;48714,95
