Localidade	"Extensão da rede de distribuição de água, em km
(km) (SNIS)"	"Extensão da rede de distribuição de esgoto, em km
(km) (SNIS)"	"Investimentos realizados pelo prestador de serviços, em R$ de 2017
(R$ a preços de 2019) (ITB)"	"Investimentos realizados pelo município, em R$ de 2017
(R$ a preços de 2019) (ITB)"	"Investimentos realizados pelo governo estadual, em R$ de 2017
(R$ a preços de 2019) (ITB)"	"Investimentos totais em saneamento
(R$ a preços de 2019) (ITB)"	"Investimentos per capita em saneamento
(R$ a preços de 2019) (ITB)"
Itamaraju (Município) (291560)	183,09	161,77	2.923.328,62	0,00	0,00	2.923.328,62	43,47
Itaparica (Município) (291610)	136,99	89,64	876.753,93	0,00	0,00	876.753,93	38,77
Itapetinga (Município) (291640)	179,40	137,30	66.289,02	0,00	0,00	66.289,02	0,87
Jacobina (Município) (291750)	307,08	9,80	12.934.562,09	0,00	1.826.633,84	14.761.195,92	174,05
Jaguaquara (Município) (291760)	123,23	88,22	153.864,20	0,00	40.070,61	193.934,81	3,50
Jequié (Município) (291800)	486,79	453,79	1.863.022,50	0,00	340.493,41	2.203.515,92	13,64
Juazeiro (Município) (291840)	422,00	213,00	4.134.510,48	0,00	0,00	4.134.510,48	18,94
Lauro de Freitas (Município) (291920)	413,53	459,62	29.418.165,77	0,00	0,00	29.418.165,77	153,67
Luís Eduardo Magalhães (Município) (291955)	266,04	119,76	392.203,24	0,00	3.240,92	395.444,16	5,00
Madre de Deus (Município) (291992)	40,59	42,93	548.732,43	0,00	0,00	548.732,43	26,97
Mata de São João (Município) (292100)	186,73	67,37	2.915.987,91	0,00	1.015.936,78	3.931.924,69	85,83
Paulo Afonso (Município) (292400)	270,69	146,06	2.568.389,52	0,00	11.414.019,81	13.982.409,32	117,29
Pojuca (Município) (292520)	95,97	85,00	39.323,18	348.009,79	0,00	387.332,97	10,32
Porto Seguro (Município) (292530)	357,37	180,00	529.479,00	0,00	0,00	529.479,00	3,64
Ribeira do Pombal (Município) (292660)	138,76	30,00	282.067,70	0,00	0,00	282.067,70	5,49
Salvador (Município) (292740)	5.365,69	4.029,11	74.870.327,76	0,00	19.545.106,08	94.415.433,84	32,32
Santo Amaro (Município) (292860)	110,56	54,64	416.848,57	0,00	0,00	416.848,57	6,76
Santo Antônio de Jesus (Município) (292870)	259,18	42,73	1.384.434,28	0,00	0,00	1.384.434,28	13,63
Santo Estêvão (Município) (292880)	97,31	1,03	13.729.845,78	0,00	0,00	13.729.845,78	258,11
São Francisco do Conde (Município) (292920)	82,79	40,61	2.625.489,60	0,00	0,00	2.625.489,60	66,76
São Sebastião do Passé (Município) (292950)	122,28	1,44	53.159,59	0,00	0,00	53.159,59	1,17
Senhor do Bonfim (Município) (293010)	203,30	95,60	11.105.077,84	139.203,91	173.325,36	11.417.607,11	140,39
Serrinha (Município) (293050)	227,10	19,00	2.097.441,00	0,00	203.414,11	2.300.855,11	27,63
Simões Filho (Município) (293070)	188,67	204,93	1.410.016,63	0,00	0,00	1.410.016,63	10,59
Teixeira de Freitas (Município) (293135)	430,29	30,94	4.989.951,67	0,00	0,00	4.989.951,67	31,62
Tucano (Município) (293190)	81,93	27,16	12.631,14	0,00	0,00	12.631,14	0,23
Valença (Município) (293290)	160,67	102,86	279.211,94	0,00	0,00	279.211,94	2,87
Vera Cruz (Município) (293320)	394,41	20,93	16.838.428,54	0,00	10.397.774,95	27.236.203,49	638,60
Vitória da Conquista (Município) (293330)	1.176,48	665,05	9.595.131,69	0,00	8.538.811,12	18.133.942,81	52,83
Alfenas (Município) (310160)	311,05	243,99	332.842,67	0,00	0,00	332.842,67	4,23
Araguari (Município) (310350)	466,34	457,47	0,00	0,00	0,00	0,00	0,00
Araxá (Município) (310400)	235,76	317,16	12.126.674,12	0,00	0,00	12.126.674,12	118,61
Baldim (Município) (310500)	29,33	32,60	789.988,55	0,00	0,00	789.988,55	97,88
Barão de Cocais (Município) (310540)	126,91	205,00	3.275.629,57	1.009.661,78	0,00	4.285.291,36	137,04
Barbacena (Município) (310560)	275,03	248,87	2.614.509,72	0,00	0,00	2.614.509,72	19,38
Belo Horizonte (Município) (310620)	6.825,48	4.299,97	447.312.445,98	0,00	0,00	447.312.445,98	178,74
Belo Vale (Município) (310640)	30,46	0,00	675.085,88	0,00	0,00	675.085,88	86,37
Betim (Município) (310670)	1.460,28	924,18	52.348.255,78	0,00	0,00	52.348.255,78	125,44
Bom Despacho (Município) (310740)	273,72	193,56	532.204,29	0,00	0,00	532.204,29	10,81
Bonfim (Município) (310810)	36,49	26,93	698.366,46	0,00	0,00	698.366,46	99,54
Brumadinho (Município) (310900)	60,79	86,19	3.501.977,05	0,00	0,00	3.501.977,05	92,51
Caeté (Município) (311000)	252,20	205,00	61.920,49	1.191.236,90	0,00	1.253.157,39	28,65
Campo Belo (Município) (311120)	248,50	213,80	1.346.542,03	0,00	0,00	1.346.542,03	24,90
Capim Branco (Município) (311250)	62,74	20,60	1.467.960,67	0,00	0,00	1.467.960,67	153,92
Caratinga (Município) (311340)	201,40	111,46	3.468.249,51	0,00	0,00	3.468.249,51	38,20
Cataguases (Município) (311530)	213,89	72,00	13.694.343,80	0,00	0,00	13.694.343,80	184,63
Confins (Município) (311787)	70,17	0,00	1.057.815,03	0,00	0,00	1.057.815,03	163,29
Congonhas (Município) (311800)	284,79	118,02	2.149.834,58	0,00	0,00	2.149.834,58	40,70
Conselheiro Lafaiete (Município) (311830)	443,20	359,68	8.010.753,24	0,00	0,00	8.010.753,24	63,87
Contagem (Município) (311860)	1.962,07	1.145,86	108.809.323,35	0,00	0,00	108.809.323,35	167,72
Coronel Fabriciano (Município) (311940)	308,45	121,56	18.535.605,60	0,00	0,00	18.535.605,60	169,49
Curvelo (Município) (312090)	312,13	186,01	251.700,09	0,00	0,00	251.700,09	3,19
Divinópolis (Município) (312230)	998,16	782,46	11.624.399,56	0,00	0,00	11.624.399,56	50,36
Esmeraldas (Município) (312410)	107,60	17,99	7.754.469,27	0,00	0,00	7.754.469,27	115,38
Florestal (Município) (312600)	26,51	30,00	957.535,36	0,00	0,00	957.535,36	132,82
Formiga (Município) (312610)	500,00	500,00	1.443.500,97	0,00	0,00	1.443.500,97	21,22
Fortuna de Minas (Município) (312640)	39,00	60,00	0,00	0,00	0,00	0,00	0,00
Frutal (Município) (312710)	164,65	141,11	221.557,31	0,00	0,00	221.557,31	3,83
Funilândia (Município) (312720)	43,80	12,91	694.445,71	0,00	0,00	694.445,71	165,50
Governador Valadares (Município) (312770)	725,12	701,71	6.364.326,91	0,00	0,00	6.364.326,91	22,86
Guaxupé (Município) (312870)	216,31	216,06	181.987,45	0,00	0,00	181.987,45	3,51
Ibirité (Município) (312980)	278,50	222,10	49.551.015,07	0,00	0,00	49.551.015,07	284,98
Igarapé (Município) (313010)	127,92	74,40	7.471.140,28	0,00	0,00	7.471.140,28	187,84
Inhaúma (Município) (313100)	56,00	10,00	0,00	0,00	0,00	0,00	0,00
Ipatinga (Município) (313130)	690,46	338,90	4.806.547,25	0,00	0,00	4.806.547,25	18,68
Itabira (Município) (313170)	378,95	298,06	2.497.373,32	0,00	0,00	2.497.373,32	21,23
Itabirito (Município) (313190)	270,50	240,40	1.230.821,14	0,00	0,00	1.230.821,14	24,73
Itaguara (Município) (313220)	60,00	60,00	984.732,92	0,00	0,00	984.732,92	74,76
Itajubá (Município) (313240)	784,25	329,88	386.605,69	0,00	0,00	386.605,69	4,03
Itatiaiuçu (Município) (313370)	57,47	0,00	1.208.121,53	0,00	0,00	1.208.121,53	112,06
Itaúna (Município) (313380)	790,58	362,52	9.986.955,35	0,00	0,00	9.986.955,35	109,20
Ituiutaba (Município) (313420)	535,52	515,70	3.078.987,63	0,00	0,00	3.078.987,63	29,80
Jaboticatubas (Município) (313460)	50,59	36,00	5.110.079,96	0,00	0,00	5.110.079,96	268,22
Janaúba (Município) (313510)	394,96	95,79	168.213,06	0,00	0,00	168.213,06	2,37
Januária (Município) (313520)	176,84	63,48	440.682,55	0,00	0,00	440.682,55	6,46
João Monlevade (Município) (313620)	404,30	308,46	667.479,83	0,00	0,00	667.479,83	8,49
Nova União (Município) (313660)	32,85	6,00	537.951,33	0,00	0,00	537.951,33	93,09
Juatuba (Município) (313665)	279,89	43,48	7.428.406,55	0,00	0,00	7.428.406,55	296,11
Juiz de Fora (Município) (313670)	1.846,14	1.349,96	27.567.224,18	12.599.538,26	0,00	40.166.762,43	72,34
Lagoa da Prata (Município) (313720)	257,37	255,63	2.170.619,46	0,00	0,00	2.170.619,46	43,24
Lagoa Santa (Município) (313760)	364,37	178,20	8.925.415,64	0,00	0,00	8.925.415,64	149,33
Lavras (Município) (313820)	476,31	331,30	295.961,75	0,00	0,00	295.961,75	2,95
Leopoldina (Município) (313840)	149,01	0,00	97.066,25	0,00	0,00	97.066,25	1,83
Manhuaçu (Município) (313940)	215,00	225,00	215.018,62	0,00	0,00	215.018,62	2,48
Mariana (Município) (314000)	233,57	186,86	1.831.864,25	0,00	0,00	1.831.864,25	31,15
Mário Campos (Município) (314015)	35,96	20,50	1.886.524,16	0,00	0,00	1.886.524,16	129,00
Mateus Leme (Município) (314070)	168,41	60,09	10.964.807,15	0,00	0,00	10.964.807,15	363,61
Matozinhos (Município) (314110)	160,84	111,00	4.705.547,66	0,00	0,00	4.705.547,66	128,15
Moeda (Município) (314230)	17,62	0,00	412.569,45	0,00	0,00	412.569,45	83,82
Montes Claros (Município) (314330)	1.779,46	1.252,88	54.040.624,40	0,00	0,00	54.040.624,40	137,04
Muriaé (Município) (314390)	443,39	460,96	658.980,15	0,00	0,00	658.980,15	6,14
Nova Lima (Município) (314480)	465,18	52,22	13.615.792,97	0,00	0,00	13.615.792,97	151,45
Nova Serrana (Município) (314520)	358,49	239,75	305.773,58	0,00	0,00	305.773,58	3,40
Ouro Preto (Município) (314610)	527,12	462,47	56.392,96	0,00	0,00	56.392,96	0,76
Paracatu (Município) (314700)	275,19	252,63	380.051,16	0,00	0,00	380.051,16	4,18
Pará de Minas (Município) (314710)	369,00	256,00	34.317.257,83	0,00	0,00	34.317.257,83	376,46
Passos (Município) (314790)	467,93	429,41	573.057,72	0,00	0,00	573.057,72	5,07
Patos de Minas (Município) (314800)	666,52	561,63	6.908.016,74	0,00	0,00	6.908.016,74	46,44
Patrocínio (Município) (314810)	431,00	397,00	86.466,67	0,00	0,00	86.466,67	0,98
Pedro Leopoldo (Município) (314930)	332,47	74,60	11.235.175,28	0,00	0,00	11.235.175,28	178,47
Pirapora (Município) (315120)	273,30	85,50	207.577,79	0,00	0,00	207.577,79	3,69
Poços de Caldas (Município) (315180)	1.071,46	965,35	7.394.859,17	0,00	0,00	7.394.859,17	45,18
Ponte Nova (Município) (315210)	250,00	205,00	3.381.016,87	0,00	0,00	3.381.016,87	56,35
Pouso Alegre (Município) (315250)	632,77	517,43	886.608,63	0,00	0,00	886.608,63	6,16
Prudente de Morais (Município) (315360)	59,68	20,73	1.718.517,82	0,00	0,00	1.718.517,82	165,43
Raposos (Município) (315390)	56,22	52,86	3.299.525,44	0,00	0,00	3.299.525,44	203,30
Ribeirão das Neves (Município) (315460)	1.009,20	556,73	44.770.844,79	0,00	0,00	44.770.844,79	138,76
Rio Acima (Município) (315480)	-	-	-	-	-	-	-
Rio Manso (Município) (315530)	44,82	0,00	681.635,26	0,00	0,00	681.635,26	119,92
Sabará (Município) (315670)	467,39	290,06	15.707.834,56	0,00	0,00	15.707.834,56	116,89
Santa Bárbara (Município) (315720)	125,46	135,00	3.196.540,16	0,00	0,00	3.196.540,16	105,95
Santa Luzia (Município) (315780)	753,46	350,01	27.266.063,06	0,00	0,00	27.266.063,06	126,08
São Francisco (Município) (316110)	158,20	91,33	89.566,43	0,00	0,00	89.566,43	1,59
São João del Rei (Município) (316250)	209,91	174,29	460.595,52	0,00	0,00	460.595,52	5,15
São Joaquim de Bicas (Município) (316292)	103,31	42,39	5.584.534,85	0,00	0,00	5.584.534,85	191,50
São José da Lapa (Município) (316295)	128,76	74,09	2.887.985,12	0,00	0,00	2.887.985,12	129,76
São José da Varginha (Município) (316310)	36,00	22,70	0,00	0,00	0,00	0,00	0,00
São Sebastião do Paraíso (Município) (316470)	305,59	245,00	1.388.643,93	0,00	0,00	1.388.643,93	19,96
Sarzedo (Município) (316553)	78,20	134,84	4.309.726,32	0,00	0,00	4.309.726,32	144,19
Sete Lagoas (Município) (316720)	1.056,48	915,50	7.765.396,30	20.656.962,69	0,00	28.422.358,99	122,45
Taquaraçu de Minas (Município) (316830)	20,44	6,40	531.632,48	0,00	0,00	531.632,48	131,92
Teófilo Otoni (Município) (316860)	335,96	210,08	12.466.879,55	0,00	0,00	12.466.879,55	88,39
Timóteo (Município) (316870)	274,30	195,79	301.558,55	0,00	0,00	301.558,55	3,44
Três Corações (Município) (316930)	315,57	285,11	223.658,69	0,00	0,00	223.658,69	2,87
Três Pontas (Município) (316940)	208,80	208,00	404.669,61	0,00	0,00	404.669,61	7,14
Ubá (Município) (316990)	212,81	175,05	6.683.767,39	0,00	0,00	6.683.767,39	60,21
Uberaba (Município) (317010)	1.299,61	1.276,91	26.425.679,18	5.729.254,14	0,00	32.154.933,32	99,82
Uberlândia (Município) (317020)	3.143,00	2.518,00	63.878.145,37	0,00	0,00	63.878.145,37	96,44
Unaí (Município) (317040)	320,22	260,58	464.437,31	0,00	0,00	464.437,31	5,60
Varginha (Município) (317070)	454,80	413,16	16.138.737,25	0,00	0,00	16.138.737,25	121,94
Vespasiano (Município) (317120)	466,93	158,24	14.460.713,08	0,00	0,00	14.460.713,08	121,97
Viçosa (Município) (317130)	270,00	219,00	1.206.010,38	0,00	0,00	1.206.010,38	15,60
Aracruz (Município) (320060)	367,17	234,06	2.601.125,21	0,00	0,00	2.601.125,21	27,36
Cachoeiro de Itapemirim (Município) (320120)	622,26	490,44	12.803.417,09	0,00	0,00	12.803.417,09	61,35
Cariacica (Município) (320130)	1.241,97	391,33	15.145.330,23	0,00	1.564.480,36	16.709.810,59	43,77
Colatina (Município) (320150)	338,00	208,00	379.893,08	6.097.762,11	0,00	6.477.655,19	52,82
Fundão (Município) (320220)	159,20	32,23	349.234,75	0,00	0,00	349.234,75	17,47
Guarapari (Município) (320240)	482,96	264,24	20.190.859,79	0,00	2.037.449,32	22.228.309,10	185,54
Linhares (Município) (320320)	460,00	241,56	912.181,30	0,00	0,00	912.181,30	5,57
São Mateus (Município) (320490)	338,52	188,13	474.220,86	0,00	0,00	474.220,86	3,81
Serra (Município) (320500)	1.601,69	772,74	66.287.070,96	0,00	11.133.242,20	77.420.313,16	159,51
Viana (Município) (320510)	258,90	82,41	3.921.788,96	0,00	0,00	3.921.788,96	52,64
Vila Velha (Município) (320520)	1.321,30	403,36	13.820.155,20	0,00	0,00	13.820.155,20	29,23
Vitória (Município) (320530)	842,57	369,12	29.779.692,40	0,00	0,00	29.779.692,40	83,68
Angra dos Reis (Município) (330010)	389,83	232,00	176.010,97	0,00	32.281,95	208.292,93	1,11
Araruama (Município) (330020)	727,00	107,00	13.434.398,77	0,00	0,00	13.434.398,77	109,34
Barra do Piraí (Município) (330030)	226,52	113,38	0,00	344.623,29	0,00	344.623,29	3,56
Barra Mansa (Município) (330040)	646,50	303,74	1.350.256,68	0,00	0,00	1.350.256,68	7,50
Belford Roxo (Município) (330045)	555,48	418,00	3.475.821,46	0,00	2.338.888,11	5.814.709,57	12,09
Cabo Frio (Município) (330070)	1.104,00	44,00	32.092.103,79	0,00	0,00	32.092.103,79	153,96
Cachoeiras de Macacu (Município) (330080)	328,76	123,00	0,00	0,00	3.489,94	3.489,94	0,06
Campos dos Goytacazes (Município) (330100)	1.300,20	751,40	16.897.013,84	0,00	0,00	16.897.013,84	34,91
Duque de Caxias (Município) (330170)	1.277,92	675,00	4.448.441,86	0,00	5.788.415,10	10.236.856,96	11,60
Guapimirim (Município) (330185)	108,75	0,00	58.615,40	0,00	0,00	58.615,40	1,04
Itaboraí (Município) (330190)	379,00	115,00	0,00	0,00	57.584,02	57.584,02	0,25
Itaguaí (Município) (330200)	553,05	100,00	0,00	0,00	867.250,21	867.250,21	7,28
Itaperuna (Município) (330220)	112,00	149,00	0,00	0,00	9.732.329,38	9.732.329,38	98,29
Japeri (Município) (330227)	154,30	0,00	0,00	0,00	6.973.381,98	6.973.381,98	69,83
Macaé (Município) (330240)	525,00	120,00	20.170,39	0,00	488.155,43	508.325,81	2,17
Magé (Município) (330250)	269,00	166,00	0,00	0,00	5.532.249,28	5.532.249,28	23,56
Maricá (Município) (330270)	90,00	23,00	4.619.607,24	0,00	3.486.502,13	8.106.109,37	55,31
Mesquita (Município) (330285)	412,02	179,00	0,00	0,00	121.679,80	121.679,80	0,71
Nilópolis (Município) (330320)	241,13	190,00	0,00	0,00	130.048,85	130.048,85	0,82
Niterói (Município) (330330)	1.305,70	738,30	27.348.747,56	0,00	0,00	27.348.747,56	55,06
Nova Friburgo (Município) (330340)	675,60	417,70	10.324.640,30	0,00	0,00	10.324.640,30	55,87
Nova Iguaçu (Município) (330350)	737,85	560,00	1.304.853,63	0,00	15.456.577,32	16.761.430,95	20,76
Paracambi (Município) (330360)	93,30	68,23	0,00	0,00	14.396,00	14.396,00	0,29
Petrópolis (Município) (330390)	732,20	273,90	10.159.083,11	0,00	0,00	10.159.083,11	34,07
Queimados (Município) (330414)	374,09	132,00	0,00	0,00	170.945,91	170.945,91	1,19
Resende (Município) (330420)	486,00	383,00	8.144.897,89	0,00	0,00	8.144.897,89	65,05
Rio Bonito (Município) (330430)	41,00	0,00	0,00	0,00	1.558.384,38	1.558.384,38	27,05
Rio das Ostras (Município) (330452)	121,00	231,00	0,00	58.864.838,01	207.215,22	59.072.053,23	447,60
Rio de Janeiro (Município) (330455)	10.352,52	6.254,23	364.156.703,05	0,00	123.766.094,61	487.922.797,66	75,34
São Gonçalo (Município) (330490)	1.583,00	711,00	890.977,98	0,00	21.011.812,52	21.902.790,49	21,10
São João de Meriti (Município) (330510)	542,02	417,00	3.591.393,05	0,00	350.706,62	3.942.099,68	8,56
São Pedro da Aldeia (Município) (330520)	449,00	54,00	12.523.854,99	0,00	0,00	12.523.854,99	129,22
Saquarema (Município) (330550)	418,00	55,00	0,00	0,00	0,00	0,00	0,00
Seropédica (Município) (330555)	288,90	53,00	0,00	0,00	4.593.026,45	4.593.026,45	55,41
Tanguá (Município) (330575)	17,00	13,00	0,00	0,00	64.127,65	64.127,65	1,98
Teresópolis (Município) (330580)	395,00	60,00	0,00	0,00	173.188,29	173.188,29	1,00
Três Rios (Município) (330600)	266,82	225,35	2.535.516,40	0,00	0,00	2.535.516,40	31,99
Valença (Município) (330610)	155,00	58,00	0,00	0,00	299.475,16	299.475,16	4,06
Volta Redonda (Município) (330630)	1.018,37	887,51	14.823.457,37	328.388,82	11.196.364,98	26.348.211,18	100,19
Americana (Município) (350160)	1.470,50	1.353,95	26.022.920,27	0,00	0,00	26.022.920,27	113,48
Amparo (Município) (350190)	326,40	228,96	674.772,52	0,00	0,00	674.772,52	9,60
Andradina (Município) (350210)	257,35	207,69	7.428.539,21	0,00	0,00	7.428.539,21	129,76
Araçatuba (Município) (350280)	673,29	645,50	2.349.501,93	0,00	0,00	2.349.501,93	12,19
Araraquara (Município) (350320)	1.380,32	1.152,13	3.410.479,73	0,00	0,00	3.410.479,73	15,06
Araras (Município) (350330)	686,00	704,00	7.255.111,18	0,00	0,00	7.255.111,18	56,29
Artur Nogueira (Município) (350380)	162,05	160,31	453.366,86	0,00	1.123.761,87	1.577.128,72	31,39
Arujá (Município) (350390)	375,60	168,79	10.238.024,23	0,00	0,00	10.238.024,23	121,97
Assis (Município) (350400)	422,86	379,33	3.927.452,68	0,00	0,00	3.927.452,68	38,66
Atibaia (Município) (350410)	397,27	210,83	3.070.419,19	0,00	0,00	3.070.419,19	22,38
Avaré (Município) (350450)	378,54	347,92	3.223.871,53	0,00	0,00	3.223.871,53	36,48
Barretos (Município) (350550)	580,00	577,30	1.790.474,40	0,00	0,00	1.790.474,40	15,02
Barueri (Município) (350570)	730,86	390,79	18.437.299,72	0,00	0,00	18.437.299,72	70,30
Batatais (Município) (350590)	251,00	228,00	0,00	0,00	2.130.248,06	2.130.248,06	35,16
Bauru (Município) (350600)	1.745,08	1.378,73	3.020.037,35	0,00	0,00	3.020.037,35	8,23
Bebedouro (Município) (350610)	705,00	705,00	1.167.605,23	0,00	0,00	1.167.605,23	15,04
Bertioga (Município) (350635)	290,87	132,41	33.757.709,58	0,00	0,00	33.757.709,58	596,90
Birigui (Município) (350650)	440,20	432,60	0,00	173.285,00	0,00	173.285,00	1,46
Biritiba-Mirim (Município) (350660)	139,78	69,95	5.370.611,24	0,00	0,00	5.370.611,24	172,37
Boituva (Município) (350700)	151,64	68,41	7.034.352,20	0,00	0,00	7.034.352,20	126,23
Botucatu (Município) (350750)	608,02	429,98	10.128.620,14	0,00	0,00	10.128.620,14	72,62
Bragança Paulista (Município) (350760)	674,00	456,02	9.067.355,79	0,00	0,00	9.067.355,79	56,44
Caçapava (Município) (350850)	308,54	146,31	6.138.877,76	0,00	0,00	6.138.877,76	67,34
Caieiras (Município) (350900)	305,19	168,80	62.145.514,63	0,00	0,00	62.145.514,63	648,84
Cajamar (Município) (350920)	270,90	102,92	5.024.902,94	0,00	0,00	5.024.902,94	69,98
Campinas (Município) (350950)	4.616,52	4.303,25	162.382.828,86	0,00	0,00	162.382.828,86	139,49
Campo Limpo Paulista (Município) (350960)	228,82	131,89	4.561.559,12	0,00	0,00	4.561.559,12	56,42
Campos do Jordão (Município) (350970)	310,16	120,04	15.012.773,32	0,00	0,00	15.012.773,32	295,22
Capivari (Município) (351040)	241,20	209,70	4.545.732,32	0,00	0,00	4.545.732,32	85,52
Caraguatatuba (Município) (351050)	627,49	497,17	25.892.519,10	0,00	0,00	25.892.519,10	228,50
Carapicuíba (Município) (351060)	599,24	410,77	17.248.497,88	0,00	0,00	17.248.497,88	43,97
Catanduva (Município) (351110)	451,50	451,50	4.965.690,18	7.761.883,26	0,00	12.727.573,43	106,52
Cosmópolis (Município) (351280)	182,00	182,00	0,00	86.698,62	0,00	86.698,62	1,30
Cotia (Município) (351300)	1.032,05	314,81	10.109.201,48	0,00	0,00	10.109.201,48	44,04
Cruzeiro (Município) (351340)	314,00	294,50	1.310.079,92	0,00	0,00	1.310.079,92	16,16
Cubatão (Município) (351350)	251,01	147,64	14.070.553,73	0,00	0,00	14.070.553,73	110,79
Diadema (Município) (351380)	773,28	474,76	7.706.615,64	0,00	0,00	7.706.615,64	18,69
Embu das Artes (Município) (351500)	594,98	295,23	3.677.451,75	0,00	0,00	3.677.451,75	14,05
Embu-Guaçu (Município) (351510)	256,49	121,38	4.663.783,82	0,00	0,00	4.663.783,82	69,30
Fernandópolis (Município) (351550)	322,25	271,88	6.082.561,42	0,00	0,00	6.082.561,42	89,29
Ferraz de Vasconcelos (Município) (351570)	332,90	257,39	10.211.522,25	0,00	0,00	10.211.522,25	55,29
Franca (Município) (351620)	1.100,61	1.052,44	92.905.896,53	0,00	0,00	92.905.896,53	271,57
Francisco Morato (Município) (351630)	378,36	169,23	71.699.886,20	0,00	0,00	71.699.886,20	426,17
Franco da Rocha (Município) (351640)	413,32	213,53	20.199.472,68	0,00	0,00	20.199.472,68	138,59
Guararema (Município) (351830)	144,65	41,52	2.364.675,87	0,00	0,00	2.364.675,87	83,43
Guaratinguetá (Município) (351840)	597,00	459,00	212.641,94	0,00	0,00	212.641,94	1,79
Guarujá (Município) (351870)	752,51	372,04	46.549.887,99	0,00	0,00	46.549.887,99	149,57
Guarulhos (Município) (351880)	2.316,13	1.711,61	21.443.950,43	0,00	0,00	21.443.950,43	16,19
Hortolândia (Município) (351907)	558,18	278,53	22.657.118,30	0,00	0,00	22.657.118,30	104,98
Ibitinga (Município) (351960)	395,00	303,00	576.295,27	0,00	0,00	576.295,27	10,00
Ibiúna (Município) (351970)	145,74	28,61	547.528,88	0,00	0,00	547.528,88	7,16
Indaiatuba (Município) (352050)	947,02	793,62	49.891.666,74	0,00	0,00	49.891.666,74	215,95
Itanhaém (Município) (352210)	917,01	299,48	96.425.713,94	0,00	0,00	96.425.713,94	1.002,12
Itapecerica da Serra (Município) (352220)	401,97	174,87	38.062.005,19	0,00	0,00	38.062.005,19	227,59
Itapetininga (Município) (352230)	500,07	283,80	6.378.611,12	0,00	0,00	6.378.611,12	40,62
Itapeva (Município) (352240)	253,22	162,54	2.230.231,63	0,00	0,00	2.230.231,63	24,06
Itapevi (Município) (352250)	448,30	242,67	16.562.227,59	0,00	0,00	16.562.227,59	74,14
Itapira (Município) (352260)	323,25	291,45	924.305,14	0,00	0,00	924.305,14	12,67
Itaquaquecetuba (Município) (352310)	875,07	445,24	19.957.071,70	0,00	0,00	19.957.071,70	56,57
Itararé (Município) (352320)	149,21	102,42	2.759.314,52	0,00	0,00	2.759.314,52	55,07
Itatiba (Município) (352340)	210,26	148,84	31.506.474,79	0,00	0,00	31.506.474,79	278,12
Itu (Município) (352390)	733,00	587,14	3.150.524,48	0,00	0,00	3.150.524,48	18,85
Itupeva (Município) (352400)	63,18	29,81	3.241.621,13	0,00	0,00	3.241.621,13	59,89
Jaboticabal (Município) (352430)	351,38	100,00	301.060,19	0,00	0,00	301.060,19	3,97
Jacareí (Município) (352440)	777,20	606,01	15.318.795,29	20.333.951,86	0,00	35.652.747,15	157,38
Jaguariúna (Município) (352470)	200,00	185,00	0,00	1.137.641,61	2.075.356,38	3.212.997,99	61,90
Jandira (Município) (352500)	231,44	146,53	7.912.780,76	0,00	0,00	7.912.780,76	66,59
Jaú (Município) (352530)	833,70	678,80	10.302.006,88	0,00	0,00	10.302.006,88	71,90
Jundiaí (Município) (352590)	1.833,44	922,51	24.133.879,11	0,00	0,00	24.133.879,11	60,05
Juquitiba (Município) (352620)	113,19	30,35	1.157.415,55	0,00	0,00	1.157.415,55	37,77
Leme (Município) (352670)	420,00	400,00	7.440.440,27	0,00	0,00	7.440.440,27	74,86
Lençóis Paulista (Município) (352680)	298,46	242,45	2.007.190,30	0,00	0,00	2.007.190,30	30,35
Limeira (Município) (352690)	1.167,00	1.025,00	11.171.731,07	0,00	0,00	11.171.731,07	37,69
Lins (Município) (352710)	237,95	212,56	1.431.038,43	0,00	0,00	1.431.038,43	18,81
Lorena (Município) (352720)	265,84	206,76	5.948.268,15	0,00	0,00	5.948.268,15	68,23
Mairiporã (Município) (352850)	350,06	82,06	6.363.172,93	0,00	0,00	6.363.172,93	68,92
Marília (Município) (352900)	726,88	678,60	63.508.106,17	0,00	0,00	63.508.106,17	273,73
Matão (Município) (352930)	386,63	376,40	14.969.975,77	0,00	0,00	14.969.975,77	183,82
Mauá (Município) (352940)	798,00	607,30	38.083.113,97	0,00	0,00	38.083.113,97	84,02
Mirassol (Município) (353030)	298,89	291,83	3.274.750,42	0,00	0,00	3.274.750,42	56,60
Mococa (Município) (353050)	190,03	170,84	3.998.607,87	0,00	0,00	3.998.607,87	58,12
Mogi das Cruzes (Município) (353060)	1.016,00	750,00	9.197.539,78	0,00	0,00	9.197.539,78	21,66
Mogi Guaçu (Município) (353070)	596,11	539,17	1.923.560,51	0,00	864.636,06	2.788.196,57	18,94
Mogi Mirim (Município) (353080)	482,00	394,00	604.512,67	0,00	0,00	604.512,67	6,61
Mongaguá (Município) (353110)	410,06	294,92	11.072.196,20	0,00	0,00	11.072.196,20	210,93
Monte Alto (Município) (353130)	242,21	229,49	1.110.020,51	0,00	0,00	1.110.020,51	22,44
Monte Mor (Município) (353180)	239,05	71,69	11.351.920,28	0,00	0,00	11.351.920,28	204,88
Nova Odessa (Município) (353340)	275,35	252,28	5.337.304,60	415.455,26	0,00	5.752.759,86	101,35
