"Município";"2007/Nov";"2007/Dez";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"Total"
"110018 Pimenta Bueno";2;16;23;4;2;6;-;-;-;-;-;-;-;-;-;18;27;10;5;4;3;8;5;21;31;51;35;38;18;6;4;5;2;1;5;2;5;11;5;5;3;1;1;-;3;1;-;-;1;1;1;1;2;3;1;-;-;-;-;-;-;2;8;13;9;2;3;4;-;-;-;-;-;3;4;1;3;2;1;-;1;-;-;-;-;1;4;1;3;3;4;1;-;3;3;-;-;6;13;14;9;7;-;1;1;1;-;1;2;-;1;2;5;1;-;-;1;-;-;3;2;1;2;1;2;2;5;-;-;1;-;-;-;2;1;1;-;1;2;3;1;-;-;2;3;5;10;8;-;-;-;-;-;-;-;1;1;-;1;-;602
"110146 Pimenteiras do Oeste";-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;1;-;-;-;1;-;1;-;-;-;-;-;-;1;-;-;-;-;-;1;-;1;-;-;-;-;-;1;-;-;-;-;1;-;-;-;4;3;10;7;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;1;-;-;-;-;-;-;-;5;5;5;1;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;1;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;71
"110020 Porto Velho";-;4;5;10;1;-;1;2;-;-;1;-;2;1;5;3;4;4;-;3;3;2;5;20;28;63;108;49;33;9;5;6;2;1;3;4;2;6;7;14;8;9;6;8;3;2;5;5;3;8;7;3;7;12;-;1;1;3;1;3;4;3;13;12;11;15;7;4;2;3;1;3;5;6;3;5;6;2;10;13;3;2;3;7;1;8;3;6;10;6;3;5;6;5;2;-;2;2;5;15;6;6;4;4;4;3;1;2;3;2;4;5;3;2;2;-;-;1;-;-;-;2;2;2;2;2;2;-;-;1;-;2;1;4;1;-;1;3;2;1;5;1;1;1;-;2;5;4;2;-;-;5;2;-;1;4;4;1;2;2;855
"110025 Presidente Médici";-;-;16;14;17;4;-;-;-;1;-;-;1;4;4;5;9;13;3;2;-;-;-;-;2;19;66;44;9;9;5;2;-;2;1;-;-;16;6;4;9;2;5;2;2;1;2;2;3;6;2;2;2;11;4;-;5;1;1;-;3;5;4;18;29;44;21;9;5;5;4;3;10;10;3;2;6;7;8;4;1;-;-;1;-;4;6;8;8;10;5;4;2;1;4;2;4;4;4;2;5;10;-;-;-;2;-;1;-;-;1;1;-;1;-;-;-;-;1;1;-;-;3;1;-;3;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;643
"110147 Primavera de Rondônia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;2;1;1;1;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;1;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16
"110026 Rio Crespo";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;1;-;2;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;12
"110028 Rolim de Moura";-;37;46;49;34;17;3;-;-;-;-;1;1;1;2;19;92;34;34;8;12;5;4;24;88;159;186;137;31;6;8;5;1;1;1;10;15;12;10;21;9;2;4;-;-;3;-;-;5;3;7;9;2;6;10;4;3;14;4;7;26;50;81;53;4;7;7;5;2;2;-;6;14;8;11;5;12;13;10;4;1;5;-;4;1;4;12;8;11;5;10;5;1;-;2;2;-;10;25;35;10;8;7;1;2;1;-;-;2;6;2;3;6;1;3;1;2;1;1;-;1;-;-;1;-;2;2;-;-;-;-;1;1;-;2;-;4;3;2;1;2;1;1;4;-;2;1;3;1;-;2;-;-;-;-;1;2;4;1;-;1769
"110029 Santa Luzia D'Oeste";-;-;1;1;1;-;-;-;-;-;-;-;-;-;-;3;11;21;11;7;-;1;-;5;16;17;16;18;11;2;-;-;1;-;-;2;-;1;2;3;3;2;-;-;-;-;-;1;2;-;3;-;3;4;1;1;2;-;-;-;-;2;11;10;12;6;2;1;4;1;-;4;7;5;10;10;6;5;4;1;1;1;-;1;3;4;5;2;1;2;8;-;2;5;1;1;1;5;12;8;5;2;1;1;1;1;-;-;2;5;6;6;8;3;3;2;-;4;2;2;-;-;3;3;3;1;2;-;-;-;-;1;1;-;1;1;-;-;5;1;2;1;-;-;1;2;-;1;-;1;-;1;2;4;1;1;2;1;1;-;434
"110148 São Felipe D'Oeste";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;1;1;1;1;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18
"110149 São Francisco do Guaporé";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;1;2;-;3;-;-;-;-;12;40;40;13;6;3;-;-;1;-;-;7;3;11;1;5;4;3;-;-;-;-;-;-;4;-;-;1;1;3;-;-;-;3;-;-;-;2;-;-;-;-;-;-;1;-;1;-;1;1;1;-;-;1;1;2;1;1;-;1;-;-;1;1;-;1;1;-;-;-;-;-;-;1;3;-;1;3;-;3;-;2;2;1;2;1;5;-;1;-;1;-;-;-;-;-;2;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;3;3;3;-;2;-;-;-;-;-;-;-;-;230
"110032 São Miguel do Guaporé";-;-;1;5;12;5;3;-;-;-;-;-;-;7;30;34;39;78;49;8;-;-;1;6;6;16;53;40;24;32;17;1;-;1;2;6;9;54;24;46;14;18;4;5;2;-;2;2;15;43;60;43;4;3;6;5;2;-;-;5;3;3;15;11;6;7;6;6;-;1;1;5;1;2;4;2;3;9;-;1;-;1;1;1;1;2;2;4;3;4;1;-;-;2;2;3;2;2;6;5;7;2;1;-;1;2;-;-;3;7;2;4;4;2;-;-;1;-;-;1;1;-;2;-;3;2;4;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2;-;-;-;-;1;2;3;1;-;-;-;-;1030
"110150 Seringueiras";-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;25;13;11;4;2;-;6;4;1;4;22;20;28;9;6;4;2;-;-;1;3;2;10;17;5;1;21;10;6;1;3;6;8;8;4;4;5;3;9;6;2;8;1;7;3;-;1;3;3;6;3;1;-;-;-;2;2;2;1;10;9;14;9;7;5;-;-;-;1;-;2;4;2;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;6;1;-;1;5;2;1;5;3;3;2;-;1;-;-;1;1;-;-;-;3;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;451
"110155 Teixeirópolis";-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;1;-;1;2;3;3;-;-;-;1;-;-;3;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;2;-;4;1;1;1;-;-;1;-;-;1;-;-;-;1;2;-;-;-;1;-;-;-;-;-;1;-;-;1;-;-;-;1;2;1;-;2;-;-;2;-;-;-;-;-;1;2;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;1;2;1;1;2;-;1;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;63
"110160 Theobroma";-;-;-;1;1;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;1;1;-;1;11;24;9;1;2;1;4;-;-;-;1;1;1;-;-;1;1;-;-;-;1;-;-;-;-;-;1;-;1;1;1;-;-;-;-;-;-;-;1;-;-;-;3;-;-;1;-;1;-;-;2;1;-;-;-;-;1;-;-;3;4;-;1;3;-;1;-;-;1;-;-;1;1;-;1;-;1;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;2;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;103
"110170 Urupá";-;-;-;-;1;-;-;-;-;1;-;-;-;2;-;-;-;2;-;-;-;1;-;-;-;2;2;1;-;-;-;-;-;-;-;1;1;-;2;-;-;1;-;-;-;-;-;-;-;-;-;1;2;1;-;-;1;-;-;1;3;2;5;1;1;3;1;-;-;-;-;1;-;-;-;-;1;1;-;1;-;2;1;-;-;-;-;-;1;1;1;-;-;-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;1;1;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;56
"110175 Vale do Anari";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;2;8;15;16;2;3;1;-;-;1;-;-;-;-;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15;4;-;1;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;1;2;1;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;87
"110180 Vale do Paraíso";-;-;1;1;2;1;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;17;24;14;6;8;-;2;-;1;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;2;-;1;-;-;1;1;2;-;-;-;-;-;-;-;-;-;-;-;-;3;-;1;-;-;-;-;1;2;-;2;-;-;-;-;-;2;1;-;4;3;5;-;-;-;-;-;-;-;1;3;2;1;-;-;-;-;-;-;-;-;-;1;1;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;125
"110030 Vilhena";-;3;-;2;7;16;4;1;1;1;3;3;5;5;7;21;17;10;5;6;2;2;-;3;3;13;17;17;23;27;18;7;2;-;1;-;-;-;7;2;4;3;2;3;-;6;4;2;6;7;5;11;8;5;14;7;6;2;2;1;2;6;5;6;6;10;2;2;6;2;2;3;1;1;-;1;4;3;3;6;2;-;-;2;2;4;3;3;9;5;9;6;4;7;2;1;-;5;10;4;5;1;-;1;-;-;-;-;3;2;1;-;3;1;-;1;2;1;-;-;1;-;2;-;-;1;1;-;-;1;-;1;1;-;1;3;-;1;-;-;-;-;-;-;1;6;4;6;34;12;10;6;3;-;-;-;-;2;-;1;627
"Total";2;77;200;236;236;206;65;28;21;21;18;11;44;47;166;278;466;369;288;133;117;130;120;260;654;1206;1542;1008;503;337;169;96;65;54;69;95;213;426;384;331;356;262;132;79;65;112;67;87;97;150;199;180;194;198;131;90;81;63;53;58;107;187;487;568;489;408;240;164;101;95;53;91;150;148;199;179;193;177;146;91;57;55;44;70;80;107;108;140;158;165;170;109;53;68;62;80;65;132;269;319;287;196;85;55;38;31;16;30;69;98;98;102;110;72;45;26;23;32;13;20;24;27;45;40;52;56;43;16;16;12;15;24;12;15;29;17;37;36;39;38;50;19;19;28;47;72;94;100;111;43;33;33;16;6;13;14;12;19;7;6;22710
