"Município";"2007/Ago";"2007/Set";"2007/Out";"2007/Nov";"2007/Dez";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"Total"
"210203 Bom Jesus das Selvas";-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;1;1;-;1;-;1;-;-;-;1;1;-;-;-;-;1;2;2;2;-;-;-;1;1;1;-;-;-;3;-;1;1;5;15;16;7;4;-;-;-;3;-;-;-;1;1;1;2;5;1;-;-;-;-;-;-;-;-;-;2;2;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;1;-;1;2;1;1;-;1;-;-;-;-;-;-;2;-;1;-;-;-;-;-;-;3;-;-;2;5;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;115
"210207 Bom Lugar";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"210210 Brejo";-;-;-;-;9;21;26;25;32;33;16;7;4;7;1;-;-;-;1;3;4;8;18;5;2;1;1;7;6;23;10;15;33;11;8;9;11;5;7;19;16;38;42;42;24;25;8;10;30;9;11;17;29;15;24;26;19;23;23;4;1;-;6;6;-;-;2;3;2;1;-;2;2;2;-;-;-;-;1;4;2;1;1;2;2;-;-;4;-;1;-;17;28;36;26;13;17;21;13;5;8;17;18;24;27;13;10;6;9;-;-;-;-;-;2;2;4;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;1189
"210215 Brejo de Areia";-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
"210220 Buriti";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;1;-;2;-;-;-;1;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17
"210230 Buriti Bravo";-;-;-;-;-;-;-;3;4;1;-;-;-;-;-;-;-;-;4;14;6;17;6;1;1;1;3;-;5;5;5;-;1;1;-;-;-;-;-;1;-;3;1;2;18;26;5;8;1;1;-;1;3;2;8;1;7;5;1;-;-;-;-;-;-;4;6;6;3;3;6;1;-;-;-;2;-;-;-;-;7;1;-;-;-;1;-;1;-;-;15;17;22;2;2;1;-;-;1;-;2;10;63;27;12;1;3;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;1;-;-;1;1;2;3;1;-;-;-;1;-;-;-;1;-;2;1;-;1;-;-;-;-;-;-;-;410
"210232 Buriticupu";-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;2;2;3;-;-;-;-;-;-;-;1;5;6;22;8;7;2;2;-;-;1;2;3;8;12;7;5;22;6;5;2;4;3;10;4;1;7;3;7;-;3;1;1;-;-;-;8;2;3;3;2;2;1;2;2;-;-;1;1;2;4;1;6;4;2;4;2;-;2;-;2;3;16;14;6;2;1;-;2;-;2;1;3;10;28;14;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;3;4;-;2;-;1;-;-;-;-;-;-;1;2;1;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;1;-;-;-;357
"210235 Buritirana";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11
"210237 Cachoeira Grande";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"210240 Cajapió";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;3;-;3;-;-;-;-;-;-;-;-;-;-;1;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;2;1;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;25
"210250 Cajari";-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;3;1;2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12
"210255 Campestre do Maranhão";-;-;-;-;1;-;3;1;-;-;-;2;1;-;-;-;2;2;-;-;1;2;4;-;-;-;-;-;-;-;1;-;4;2;-;2;1;1;-;-;1;1;1;3;-;2;-;1;1;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;1;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;5;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;59
"210260 Cândido Mendes";-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;1;-;-;-;1;-;1;2;-;-;1;-;1;-;4;-;3;1;-;4;3;5;-;-;-;4;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;11;7;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;3;-;2;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;72
"210270 Cantanhede";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2;-;2;-;-;2;-;3;-;7;-;10;2;7;6;-;4;8;2;2;7;2;3;4;2;7;4;4;2;8;3;12;8;6;10;2;6;2;4;6;7;3;4;4;8;2;4;2;4;-;4;6;2;5;2;-;2;-;-;-;-;2;1;-;-;1;-;-;-;1;-;-;-;-;-;-;-;2;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;228
"210275 Capinzal do Norte";-;-;-;-;-;-;-;-;2;1;-;-;-;-;-;-;-;-;2;4;1;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;1;3;3;1;-;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;1;1;-;7;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;46
"210280 Carolina";-;-;-;-;-;2;3;5;11;11;3;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;5;3;-;-;-;-;-;-;6;5;1;3;7;5;3;-;1;2;-;-;-;1;3;-;4;2;-;-;1;-;-;-;2;5;11;9;4;4;3;2;3;4;1;-;5;8;6;12;11;5;2;-;2;-;1;-;1;-;4;6;10;3;3;-;4;-;-;1;-;-;2;4;1;12;6;7;1;-;1;-;-;-;2;7;4;3;1;-;1;1;-;2;-;1;-;1;4;3;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;4;1;-;-;-;-;-;-;-;-;-;-;-;292
"210290 Carutapera";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"210300 Caxias";-;-;-;-;-;1;-;5;7;2;1;1;-;1;-;-;1;6;1;3;4;2;-;-;-;1;-;2;1;1;-;-;3;4;3;3;1;1;3;-;2;-;5;10;3;7;7;1;3;1;1;-;1;4;1;3;5;5;2;-;2;1;1;-;1;-;1;1;2;2;3;-;2;-;-;-;-;-;1;-;1;1;2;1;-;-;-;-;-;1;-;-;-;-;4;1;-;1;-;-;-;-;-;4;19;2;1;-;1;-;-;-;-;-;-;-;-;2;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;2;2;1;1;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;191
"210310 Cedral";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;2;4;1;-;-;-;2;2;1;1;4;7;1;-;1;1;-;-;-;-;-;1;1;1;-;-;1;-;-;-;-;-;40
"210312 Central do Maranhão";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;3;1;2;-;-;1;-;-;-;-;-;-;2;3;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;3;1;6;-;-;4;-;3;4;4;4;4;3;4;4;4;3;4;2;6;1;-;7;5;4;2;1;2;-;1;-;6;-;5;3;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;119
"210315 Centro do Guilherme";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11
"210317 Centro Novo do Maranhão";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;11
"210320 Chapadinha";-;-;-;1;-;-;-;1;3;3;2;-;-;2;-;2;-;-;1;1;6;-;6;3;-;-;1;-;1;-;4;1;1;1;-;-;-;3;1;-;2;8;17;13;4;1;1;-;-;1;-;-;-;-;-;2;3;3;1;-;-;1;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;1;-;2;2;3;3;2;-;3;9;12;2;2;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;3;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;157
"210325 Cidelândia";-;-;-;-;-;1;1;12;10;3;4;-;-;-;-;-;-;-;1;-;10;1;1;3;1;1;2;-;-;2;6;2;6;2;1;-;1;-;-;1;2;3;-;5;11;10;11;11;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;2;-;-;-;-;-;-;-;1;-;3;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;2;-;-;-;-;-;-;-;-;-;6;4;-;-;-;-;-;-;-;1;5;-;2;2;2;2;-;-;-;-;4;3;2;3;-;-;-;-;-;-;-;-;-;-;-;176
"210330 Codó";-;-;-;-;-;1;3;-;2;6;1;-;1;-;-;1;-;-;-;2;2;2;8;-;-;-;-;1;-;-;-;2;-;1;-;-;-;-;-;1;-;-;1;-;-;1;-;1;2;2;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;1;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;56
"210340 Coelho Neto";-;-;-;-;-;-;-;2;1;-;1;-;-;2;-;1;-;-;2;1;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;4;7;7;6;4;2;2;-;-;2;1;3;-;2;2;2;-;1;1;2;1;4;2;1;-;2;1;-;-;1;-;-;2;-;-;1;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;84
"210350 Colinas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;3;-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;1;8;1;-;-;-;-;3;-;41;65;43;32;7;4;2;2;1;-;4;10;11;3;7;2;2;1;1;3;-;-;-;1;2;-;2;2;-;-;-;-;-;-;1;5;6;26;36;41;16;5;1;2;-;1;5;6;3;1;-;-;-;-;-;-;-;-;-;-;434
"210355 Conceição do Lago-Açu";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"210360 Coroatá";-;-;-;-;-;2;-;1;3;1;1;-;-;-;-;-;-;1;-;1;2;2;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2;1;1;1;1;1;7;3;3;1;-;1;-;2;1;4;7;5;2;1;1;-;1;-;-;-;-;-;-;-;-;-;1;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;69
"210370 Cururupu";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;3;-;3;1;-;1;-;-;1;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14
"210375 Davinópolis";-;-;-;1;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;1;1;-;1;-;1;2;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15
"210380 Dom Pedro";-;-;-;-;-;-;-;3;4;2;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;-;-;-;-;-;-;-;-;-;2;-;16;2;-;-;-;11;3;2;16;40;21;8;3;1;1;-;-;-;-;1;1;16;9;4;7;-;2;-;1;-;1;3;1;-;3;2;-;1;-;-;-;1;-;2;5;7;8;3;1;1;1;-;-;1;-;1;-;5;19;13;-;4;-;-;-;-;-;2;-;-;-;1;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;4;3;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;281
"210390 Duque Bacelar";-;-;-;-;1;1;3;-;2;-;4;-;-;1;-;1;1;1;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;7;10;6;5;12;-;-;4;5;4;3;5;3;4;3;7;2;-;-;-;1;1;-;-;1;1;1;1;1;-;-;-;1;-;1;-;2;-;2;1;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;124
"210400 Esperantinópolis";-;-;-;-;-;-;1;-;-;2;-;-;1;-;-;-;1;-;1;1;1;1;-;-;-;-;-;-;-;-;8;-;-;-;-;-;-;1;3;-;2;2;1;5;4;4;5;-;3;1;-;-;8;-;3;6;2;2;-;-;-;2;2;4;3;2;5;1;-;1;1;-;-;-;-;-;1;2;2;4;5;-;-;1;-;-;-;-;3;3;5;4;1;-;8;-;-;2;-;3;-;1;1;17;8;4;3;-;-;-;-;1;-;1;-;1;-;1;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;179
"210405 Estreito";-;-;-;-;1;8;6;14;36;10;6;3;-;-;-;-;1;6;3;2;4;-;1;-;-;-;-;1;1;-;1;1;1;1;1;4;2;1;1;3;-;3;7;52;45;2;5;5;-;-;4;1;2;1;1;4;2;5;-;2;-;-;-;-;-;-;-;4;-;6;3;1;1;-;-;-;2;-;2;-;1;7;2;-;2;2;-;2;-;1;-;5;8;3;-;-;-;1;-;-;-;3;2;2;8;2;6;1;1;1;2;1;-;2;15;13;3;1;1;-;3;-;-;-;-;2;-;-;2;-;1;-;1;-;1;-;-;-;2;1;4;3;3;2;1;2;-;-;2;-;3;-;1;-;-;-;-;-;-;-;-;-;-;411
"210407 Feira Nova do Maranhão";-;-;-;8;7;3;-;-;-;-;-;-;-;-;-;-;-;1;1;2;2;-;-;-;-;-;-;-;-;-;-;-;5;8;12;-;-;-;-;-;-;3;2;11;23;16;11;-;-;-;5;2;1;3;12;3;6;6;-;-;-;-;-;-;8;8;2;7;8;3;3;-;-;-;-;-;-;-;-;3;6;1;3;1;-;-;-;-;-;-;-;-;1;1;-;-;-;1;-;-;-;1;4;1;-;-;-;-;-;-;-;-;-;-;-;3;1;3;1;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;1;2;2;2;-;1;12;12;3;6;7;15;-;4;11;6;4;1;-;-;-;-;-;-;-;-;315
"210408 Fernando Falcão";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;33;9;5;3;1;1;-;-;-;1;3;18;17;4;1;1;-;-;-;-;-;-;2;2;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;107
