 Morbidade Hospitalar do SUS - por local de residência - Amazonas
Óbitos por Município e Ano/mês atendimento
Período:Jan/2008-Fev/2021
"Município";"2007/Out";"2007/Nov";"2007/Dez";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"Total"
"130230 Jutaí";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;1;-;-;-;-;1;-;-;-;-;3;1;-;-;-;1;-;3;-;-;-;-;-;-;-;1;-;-;-;2;-;-;1;2;-;2;1;-;2;-;1;-;2;-;-;1;-;1;-;1;2;1;-;-;-;-;-;1;-;-;-;-;1;-;2;2;1;1;1;-;1;-;-;-;-;1;-;1;-;49
"130240 Lábrea";-;-;-;-;-;-;1;3;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;1;-;-;3;-;3;1;2;1;-;-;-;-;-;-;-;-;1;1;-;-;-;1;-;-;-;1;1;-;1;1;-;2;1;-;1;-;1;1;-;-;2;1;1;-;1;-;3;-;-;-;-;-;-;-;2;2;4;-;-;1;1;-;1;1;-;-;-;-;-;3;1;1;-;4;-;3;3;1;1;2;-;-;2;1;3;2;1;1;-;5;3;4;-;1;3;-;-;1;3;1;3;2;1;3;2;2;1;2;1;2;2;4;-;129
"130250 Manacapuru";-;-;1;1;-;4;1;-;-;1;2;2;2;-;-;2;1;-;1;2;-;1;-;2;-;-;1;-;-;1;1;1;1;1;2;1;1;1;-;1;-;3;3;1;2;4;1;-;-;-;1;1;1;-;1;1;2;3;2;-;-;2;1;1;1;2;1;1;3;1;1;3;3;1;6;5;6;3;3;5;3;4;1;4;3;4;4;1;3;4;6;6;11;6;6;6;4;6;7;7;4;7;2;9;6;9;7;5;2;4;2;9;14;9;10;10;14;7;8;11;7;5;10;5;11;9;7;7;9;11;8;14;12;10;12;7;12;21;11;9;10;9;9;6;8;8;12;9;9;7;29;41;19;14;11;16;9;15;12;65;7;877
"130255 Manaquiri";-;-;1;-;-;-;-;-;-;-;-;1;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;1;1;-;-;-;1;1;-;-;-;1;2;-;-;1;1;-;1;-;1;-;-;-;1;-;3;-;-;2;1;-;-;-;-;1;-;-;1;-;2;-;-;3;1;2;-;-;2;-;3;1;1;1;3;1;-;4;1;4;2;2;1;1;-;-;3;3;4;2;1;2;-;-;1;-;79
"130260 Manaus";34;104;202;248;280;251;272;281;267;219;213;184;223;189;185;200;222;243;250;264;294;265;256;269;261;206;208;220;215;261;292;252;253;260;256;251;255;275;319;282;306;307;316;259;299;298;314;290;334;316;252;261;188;387;339;361;287;326;316;271;281;320;245;325;308;320;264;249;265;188;229;243;265;229;244;206;157;221;269;178;171;187;197;233;213;233;213;271;212;277;290;313;282;278;266;301;284;279;324;340;312;408;324;356;328;335;345;298;292;285;330;363;327;351;330;335;345;349;350;328;357;295;350;345;295;363;402;405;403;382;368;364;421;357;369;393;384;425;360;334;367;387;436;379;412;385;402;469;397;500;1289;875;498;531;494;490;518;563;703;963;243;51042
"130270 Manicoré";-;-;-;-;-;-;-;-;-;-;-;1;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;1;-;1;-;-;-;-;2;-;1;-;-;-;-;-;-;1;1;1;-;-;-;-;1;-;-;-;-;1;-;-;1;1;3;-;1;-;1;-;2;3;5;6;2;4;-;1;5;2;4;7;3;2;1;1;1;3;5;-;6;4;5;4;3;3;2;2;5;4;3;-;5;4;10;8;2;1;5;2;-;1;1;1;1;1;3;1;3;-;1;3;4;4;4;1;4;5;7;4;6;2;3;3;5;2;2;6;5;7;3;3;2;5;14;16;10;4;2;1;5;-;312
"130280 Maraã";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;2;1;1;-;-;-;1;-;1;-;-;-;-;1;-;-;-;1;-;2;-;1;-;1;1;1;-;1;-;1;-;1;1;1;-;-;-;-;1;-;1;-;-;-;-;-;2;-;1;1;-;-;1;1;-;-;-;-;3;1;-;1;41
"130290 Maués";-;-;1;-;-;3;-;1;-;1;1;-;2;1;1;-;3;-;-;1;2;2;1;-;1;-;2;-;-;1;1;2;-;-;-;3;2;4;2;5;2;3;1;6;2;2;-;-;1;-;-;2;2;2;3;1;-;3;3;3;1;1;1;1;2;2;2;2;1;1;4;2;3;1;2;2;2;2;2;-;4;2;-;1;4;1;1;-;-;4;2;2;2;3;5;2;4;3;6;3;6;5;4;3;3;3;11;6;1;3;9;3;6;3;8;7;4;4;1;7;7;5;4;6;8;3;6;1;8;1;6;4;2;1;1;4;4;6;5;2;3;5;5;6;2;6;5;6;9;3;20;15;7;3;4;6;12;5;3;-;-;468
"130300 Nhamundá";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;1;2;-;-;2;-;2;3;-;-;1;-;1;-;1;-;-;-;1;2;1;1;1;-;-;-;-;-;-;-;-;-;1;-;1;-;3;1;1;-;-;-;1;3;2;-;-;-;-;1;1;2;-;-;2;2;1;1;-;1;3;1;-;1;2;2;1;1;-;1;-;1;1;1;2;3;4;4;4;3;3;-;5;2;94
"130310 Nova Olinda do Norte";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;1;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;1;-;-;-;-;2;-;-;-;-;-;-;1;3;-;1;-;-;-;-;-;-;-;1;-;-;1;-;1;1;-;1;-;-;1;1;-;1;-;2;1;1;1;1;2;2;2;-;3;1;1;2;1;3;1;3;2;3;5;2;2;-;3;1;-;1;1;2;1;2;2;-;1;2;-;2;6;6;1;2;1;-;4;3;2;-;109
"130320 Novo Airão";-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;2;-;-;-;1;-;-;-;1;-;2;-;-;1;-;-;-;1;3;-;-;2;-;-;2;2;1;-;1;-;-;1;3;2;-;-;1;-;2;1;2;-;-;1;1;2;1;1;7;2;2;1;1;1;1;2;-;1;2;5;-;2;1;2;5;1;-;1;1;-;-;3;6;2;1;2;3;1;-;2;7;2;111
"130330 Novo Aripuanã";-;-;-;-;-;1;1;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;1;-;2;1;-;-;-;-;-;2;-;1;-;-;-;-;1;-;-;1;1;-;2;-;-;1;-;-;-;1;-;-;-;1;-;1;-;2;-;-;2;2;1;1;2;-;-;-;2;-;-;-;-;2;-;1;-;-;2;2;1;-;1;1;1;1;-;-;46
"130340 Parintins";-;-;2;2;5;2;2;3;2;-;2;-;1;1;-;5;2;1;5;-;1;2;3;1;1;1;-;-;-;-;-;2;1;1;1;1;-;-;-;1;2;2;-;1;2;1;1;1;1;1;-;3;1;3;1;1;1;1;1;1;1;1;-;5;3;4;5;2;4;8;3;7;5;5;10;6;12;6;4;13;7;11;5;7;7;13;5;4;2;7;10;6;2;4;1;12;4;9;4;9;9;10;10;13;11;9;11;9;7;4;11;15;12;20;7;13;15;8;15;12;17;14;13;13;12;15;14;21;8;14;13;16;8;9;13;12;18;11;22;12;17;18;13;12;11;14;14;11;8;13;21;39;22;18;29;17;19;18;25;61;9;1214
"130350 Pauini";-;-;-;-;1;1;-;1;-;-;-;1;1;2;2;1;-;-;2;-;-;-;-;-;1;-;-;-;1;1;1;1;-;2;-;2;1;-;1;-;1;2;-;1;-;-;-;1;1;-;-;1;-;1;-;-;-;2;-;-;-;-;2;-;1;-;-;-;1;-;-;-;1;-;-;2;-;-;-;1;-;-;-;1;-;-;1;4;-;-;1;-;-;1;1;1;-;-;-;-;1;1;-;1;2;-;1;1;-;-;-;2;2;2;-;2;-;1;-;1;2;-;1;-;1;1;3;-;2;4;1;1;-;-;1;1;1;1;2;1;2;-;1;3;1;1;1;-;-;1;1;1;-;-;1;1;-;-;1;5;-;111
"130353 Presidente Figueiredo";-;-;1;-;-;-;-;1;-;1;1;-;-;1;1;-;1;1;-;-;1;1;2;-;-;-;-;2;-;2;1;-;1;1;3;1;1;1;3;1;1;-;1;2;1;1;2;-;-;1;-;1;-;1;1;-;1;1;-;1;2;-;-;2;-;2;2;4;-;1;-;1;-;-;-;3;1;1;1;1;2;2;1;-;1;4;1;1;-;-;-;2;-;1;3;-;2;4;3;4;-;2;3;2;2;-;3;3;1;4;7;2;3;2;3;3;5;3;4;1;1;-;2;2;3;1;3;6;6;3;7;2;3;3;-;3;6;5;2;6;6;3;3;5;7;9;8;6;1;2;10;8;3;2;2;5;9;10;3;3;3;321
"130356 Rio Preto da Eva";-;-;-;-;-;-;-;-;2;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;1;1;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;2;-;-;-;-;1;-;1;-;3;-;-;-;2;-;3;2;-;-;2;1;2;1;2;1;-;-;4;2;1;2;2;1;1;2;2;1;2;-;3;2;4;8;3;3;2;1;2;1;3;1;4;2;2;1;4;3;3;4;3;4;4;1;4;4;3;3;3;1;3;3;4;3;1;5;5;6;2;5;5;2;7;2;17;3;215
"130360 Santa Isabel do Rio Negro";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;1;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;1;-;-;-;-;1;1;-;-;-;-;2;-;1;-;-;-;-;2;1;1;-;1;1;-;-;-;-;1;1;-;3;2;1;1;-;1;1;-;-;1;8;3;1;-;2;-;-;-;48
"130370 Santo Antônio do Içá";-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;-;2;-;1;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;2;1;-;3;1;1;1;1;-;1;1;2;-;1;-;-;1;2;1;2;-;-;2;1;1;2;-;1;-;1;1;2;-;2;2;1;-;3;-;1;3;1;2;-;-;4;12;1;-;1;1;2;2;1;1;-;88
"130380 São Gabriel da Cachoeira";1;1;1;1;-;1;1;-;2;4;1;-;-;-;-;-;-;4;2;-;1;1;2;-;2;2;1;1;3;-;4;1;-;-;1;-;-;-;2;-;1;-;1;2;-;-;-;1;1;-;-;-;-;-;2;2;2;-;1;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;1;3;2;-;2;2;-;-;1;-;-;2;-;1;1;3;-;5;-;2;2;-;1;1;-;1;-;-;2;3;1;3;2;2;1;1;1;2;1;1;2;-;3;-;3;2;1;1;1;1;2;4;1;1;2;3;2;1;6;3;2;1;3;7;4;4;8;4;1;-;1;1;2;5;1;5;3;12;6;8;3;7;2;6;3;21;1;265
"130390 São Paulo de Olivença";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;1;-;-;-;-;1;-;1;-;1;-;-;-;-;2;-;2;-;-;-;1;1;1;-;-;-;-;-;-;-;-;1;1;-;-;-;-;2;-;-;2;-;-;-;2;-;1;1;-;4;-;1;3;-;1;1;2;2;2;-;1;2;2;3;3;-;1;-;1;2;8;6;7;1;3;2;2;6;3;1;95
"130395 São Sebastião do Uatumã";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;1;-;-;1;-;-;-;-;2;1;1;1;-;-;-;-;-;-;2;-;-;-;-;1;1;-;1;1;1;1;-;2;2;-;1;-;1;4;3;35
"130400 Silves";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;1;-;-;-;1;-;-;-;-;-;-;1;1;-;-;-;1;1;-;1;-;-;-;2;-;-;-;-;1;-;-;-;-;-;-;1;1;1;-;-;-;-;1;-;-;-;1;-;-;1;1;-;-;2;-;3;1;-;2;4;2;-;38
"130406 Tabatinga";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;1;6;3;6;4;7;1;7;3;4;7;3;6;2;3;3;1;4;7;5;8;4;5;2;1;6;2;2;5;1;-;-;1;1;3;2;-;-;1;2;-;-;-;-;-;-;-;2;1;-;-;-;1;-;-;-;-;1;-;2;2;1;1;2;4;2;-;-;2;2;6;9;4;3;9;7;8;6;5;7;6;5;10;5;6;3;10;2;3;3;3;4;2;6;-;1;2;2;4;5;4;9;7;4;7;5;5;3;3;2;1;1;7;2;1;7;3;2;7;3;10;7;9;7;10;9;6;5;8;4;6;15;4;15;33;18;11;12;3;5;5;5;6;12;609
"130410 Tapauá";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;1;-;1;-;-;-;1;-;-;-;1;-;1;-;1;-;-;-;-;-;1;-;3;1;-;-;-;1;2;-;-;1;-;-;2;1;1;-;1;1;2;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;2;-;1;3;2;3;-;48
"130420 Tefé";-;-;1;-;-;-;-;-;1;2;-;2;-;-;-;1;-;1;-;-;1;-;-;-;-;-;1;-;1;1;-;-;1;-;2;2;1;-;1;1;-;4;6;4;6;5;12;3;5;1;5;2;4;9;4;10;8;6;5;4;12;17;3;6;6;9;6;14;2;5;7;4;10;8;7;3;7;1;3;5;10;8;8;8;5;5;5;10;1;2;4;4;8;3;9;7;4;9;5;10;7;9;6;3;6;11;4;12;6;8;4;4;6;7;7;4;7;6;5;8;7;8;4;9;5;9;11;7;4;6;10;6;11;7;12;6;14;3;11;8;10;13;10;7;2;8;9;6;5;6;22;41;14;9;9;6;10;10;12;6;2;888
"130423 Tonantins";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;1;-;-;-;-;1;1;1;-;-;1;-;-;2;-;-;-;1;-;-;1;1;-;-;-;-;-;9;5;-;-;1;-;-;3;-;1;40
"130426 Uarini";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;-;2;-;-;-;-;1;-;-;-;1;1;-;-;1;-;-;-;-;-;-;-;1;1;-;1;1;1;1;1;1;1;-;-;-;1;-;1;-;1;3;3;2;1;-;1;-;1;1;2;5;-;-;6;2;1;3;1;-;61
"130430 Urucará";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;1;-;-;1;-;-;-;-;-;-;2;-;-;-;-;-;-;1;1;-;1;-;1;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;1;1;-;-;-;1;1;-;-;-;2;1;1;-;1;3;1;-;3;1;-;2;1;-;1;-;-;-;2;2;-;2;1;-;2;1;2;1;1;2;1;1;2;4;1;18;6;86
"130440 Urucurituba";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;1;-;-;-;-;1;-;2;-;-;2;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;1;-;1;1;1;-;2;1;-;-;-;-;1;-;1;-;-;1;1;1;1;-;1;1;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;4;3;2;45
"Total";35;107;218;263;312;281;298;309;288;249;238;207;243;209;201;219;241;270;287;281;328;294;286;282;287;224;229;244;234;282;316;275;272;283;281;283;274;307;351;320;335;346;354;294;330;333;347;316;353;334;273;287;214;428;370;398;320;357;346;298;322;352;266;369;354;372;301;304;300;233;266;289;316;278;299;273;221;281;329;248;250;274;251;306;278;310;261;346;276;369;381;419;370;360;360;395;363;381;397;446;399;521;412;474;432;431;460;398;381;374;422;474;451;473;452;455;480;466;487;450;483;400;448;458;403;479;526;548;511;509;505;493;568;469;488;518;550;615;508;483;514;533;579;542;551;523;534;613;541;610;1534;1347;760;750;706;695;696;769;899;1425;339;64121
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Situação da base de dados nacional em 29/04/2016.
 Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
 
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
