 Morbidade Hospitalar do SUS - por local de residência - Mato Grosso
Valor total por Município e Ano/mês atendimento
Lista Morb  CID-10: Dengue [dengue clásssico]
Período:Jan/2008-Fev/2021
"Município";"2007/Out";"2007/Nov";"2007/Dez";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"Total"
"510285 Castanheira";-;-;-;-;-;277,60;-;-;-;-;-;-;-;-;-;-;-;575,52;287,76;-;-;-;-;-;-;-;-;-;591,52;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;303,76;287,76;287,76;-;-;-;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;295,76;-;295,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;303,76;-;-;-;-;-;-;-;-;-;-;-;3794,72
"510300 Chapada dos Guimarães";-;-;-;-;784,80;261,60;277,60;-;-;-;-;-;-;-;-;-;-;-;769,92;-;-;-;-;-;-;-;-;429,24;287,76;2524,61;1315,02;-;287,76;-;-;-;55,27;303,76;879,28;1151,04;-;591,52;-;-;-;-;-;-;-;-;-;-;-;438,84;1151,04;-;287,76;504,50;-;-;287,76;-;-;575,52;697,83;575,52;-;-;-;-;-;-;-;-;287,76;-;303,76;-;287,76;-;-;-;-;303,76;-;-;515,88;-;-;-;-;-;-;-;-;-;-;-;-;966,21;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;429,24;-;-;-;-;-;-;1027,12;-;-;-;-;18559,44
"510305 Cláudia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1751,99;2318,08;2243,42;-;287,76;863,28;287,76;-;-;-;-;-;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;311,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;-;-;287,76;1191,04;2054,32;3796,88;2046,32;1151,04;895,28;1782,56;2925,60;575,52;1742,56;-;27663,97
"510310 Cocalinho";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1438,80;2014,32;287,76;-;-;-;-;-;-;863,28;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;-;575,52;287,76;-;-;-;-;-;-;-;-;615,52;287,76;-;287,76;-;2877,60;575,52;1151,04;324,90;-;1151,04;-;287,76;-;287,76;575,52;863,28;863,28;-;-;-;-;-;-;-;-;17342,74
"510320 Colíder";-;-;278,64;557,28;787,18;263,98;-;261,60;261,60;-;-;-;-;-;-;287,76;303,76;887,67;-;-;-;-;327,76;871,28;917,23;6572,01;5868,54;2022,32;287,76;591,52;287,76;1252,59;-;311,96;-;-;-;-;534,09;-;-;303,76;-;303,76;-;-;-;-;599,52;-;-;-;287,76;-;295,76;-;-;-;-;-;-;-;776,12;575,52;1727,56;1159,04;1726,56;1462,80;945,35;287,76;848,85;575,52;287,76;287,76;576,52;287,76;-;-;-;-;-;-;-;-;311,76;-;-;-;-;311,76;615,52;1438,80;2310,08;321,32;637,47;-;1510,35;-;1158,69;1101,85;287,76;612,66;575,52;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;-;-;287,76;-;-;-;287,76;-;-;-;-;-;-;-;-;-;-;901,23;-;597,02;-;-;-;-;-;-;-;-;-;287,76;3880,53;55060,85
"510325 Colniza";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;575,52;887,28;-;575,52;-;-;-;-;-;-;-;-;-;575,52;295,76;287,76;287,76;287,76;-;-;-;-;287,76;-;287,76;287,76;-;583,52;-;-;287,76;-;-;-;-;-;287,76;-;895,28;-;287,76;287,76;-;-;-;-;319,76;1822,56;295,76;591,52;895,28;887,28;599,52;903,28;1790,56;911,28;287,76;-;1502,80;287,76;-;-;1782,56;1191,04;311,76;319,76;-;-;-;-;287,76;-;871,28;295,76;-;303,76;887,28;575,52;-;-;-;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;-;-;287,76;583,52;295,76;887,28;335,76;1183,04;295,76;-;287,76;287,76;-;295,76;287,76;287,76;871,28;583,52;887,28;287,76;287,76;599,52;287,76;2342,08;3772,88;9454,27;4971,92;1231,04;295,76;-;295,76;-;1454,80;-;575,52;575,52;-;-;-;-;59565,47
"510330 Comodoro";-;-;-;-;-;261,60;523,20;-;-;-;-;-;-;-;287,76;-;287,76;863,28;287,76;-;-;-;-;-;-;-;287,76;575,52;1726,56;1438,80;575,52;863,28;2589,84;2014,32;1151,04;-;1151,04;863,28;3181,36;1173,39;1454,80;-;1454,80;2893,60;303,76;-;575,52;599,52;1446,80;2398,08;575,52;2302,08;1438,80;575,52;5267,68;2118,32;3221,36;1454,80;1742,56;1470,80;4404,40;5595,44;8760,80;7226,00;12429,68;3197,36;5787,20;4716,16;-;1742,56;1734,56;2621,84;1726,56;1462,80;1750,56;1167,04;2030,32;1454,80;1215,04;2358,08;599,52;575,52;575,52;303,76;1726,56;287,76;287,76;-;1175,04;311,76;1462,80;4707,06;887,28;1462,80;887,28;-;287,76;311,76;1880,51;2110,32;2693,84;1971,88;-;-;-;-;-;-;287,76;-;-;575,52;1175,04;599,52;911,28;-;-;-;-;-;-;287,76;599,52;575,52;-;-;-;1175,04;-;599,52;287,76;287,76;599,52;287,76;-;311,76;1330,29;-;-;-;287,76;-;287,76;1151,04;-;311,76;2901,60;2669,84;4449,54;1151,04;287,76;575,52;287,76;311,76;311,76;-;-;-;-;-;-;172161,31
"510335 Confresa";-;-;-;-;261,60;-;-;-;-;-;-;-;-;-;-;3245,36;2997,60;1940,42;1446,80;1462,80;-;-;-;-;-;295,76;-;-;-;-;-;-;-;-;287,76;-;-;-;-;-;287,76;-;295,76;303,76;-;-;-;-;-;-;-;-;-;-;-;311,76;-;-;-;-;-;-;-;-;-;607,52;-;303,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;575,52;-;-;-;-;-;364,90;-;287,76;287,76;-;-;-;-;-;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;-;-;348,90;-;943,28;1159,04;919,28;-;351,76;-;-;-;287,76;-;1478,80;2893,60;3828,88;607,52;2110,32;287,76;-;-;-;-;-;303,76;1543,19;887,28;14535,02;1478,80;1175,04;303,76;-;-;295,76;-;-;-;303,76;-;52183,15
"510336 Conquista D'Oeste";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;863,28;-;-;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;-;-;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1726,56
"510337 Cotriguaçu";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;-;-;1159,04;287,76;287,76;613,47;-;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;575,52;575,52;-;287,76;-;-;-;-;-;-;287,76;-;-;-;287,76;575,52;-;-;-;-;-;287,76;-;-;1438,80;1151,04;287,76;-;575,52;-;-;-;-;1151,04;4899,92;11271,28;6058,96;2038,32;2589,84;575,52;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1151,04;2877,60;4484,76;-;-;-;-;-;-;-;-;-;-;-;287,76;-;47215,83
"510340 Cuiabá";-;417,95;919,55;3056,08;1395,62;948,75;1701,10;-;374,75;261,60;-;-;-;-;-;809,34;4794,67;14521,27;51047,94;65460,72;19570,79;4928,32;1640,28;703,03;4285,81;10036,05;30703,81;64294,71;51775,69;34745,29;10530,20;4075,32;2165,89;4927,30;2758,42;2483,62;3731,14;2152,63;4425,19;5674,99;2753,13;7598,26;3079,71;1907,92;575,52;909,99;863,28;1583,65;972,22;1175,04;2518,23;4214,39;25455,62;34064,64;39691,37;17201,91;6914,10;11183,16;3582,78;4872,87;1571,26;2450,54;1264,45;8661,99;5352,39;2907,97;1759,33;2912,75;1151,04;287,76;-;1444,35;1761,74;1251,75;324,46;-;1754,23;2418,28;2166,10;1726,56;887,28;1454,80;599,52;1768,65;2663,24;676,23;1109,80;1289,35;2030,32;3281,26;2643,94;5565,51;2263,29;1393,66;1251,75;1177,94;687,03;747,91;721,83;466,13;1067,54;-;1228,64;-;-;311,76;-;-;-;1071,59;365,71;863,61;20708,50;957,84;1832,13;303,76;300,46;-;-;-;-;-;-;-;1729,61;-;-;410,07;-;287,76;-;-;-;663,18;287,76;-;-;-;-;641,20;883,85;990,08;-;-;-;-;-;453,27;-;311,76;916,78;1039,69;2892,94;545,15;-;-;-;-;-;-;-;697346,64
"510343 Curvelândia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;303,76;-;-;627,52;-;-;-;287,76;575,52;325,71;287,76;-;287,76;-;-;-;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;326,71;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3310,26
"510345 Denise";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;863,28;2877,60;887,28;-;287,76;-;-;-;-;-;-;-;-;-;288,76;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;287,76;-;-;-;-;-;-;287,76;591,52;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;-;-;575,52;1758,56;2030,32;-;-;-;-;-;303,76;-;-;-;-;575,52;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12190,92
"510350 Diamantino";-;-;261,60;261,60;-;261,60;-;-;-;-;-;-;-;-;-;-;-;-;911,28;7063,59;887,28;319,76;615,52;-;591,52;319,76;655,52;863,28;1766,56;863,28;-;687,52;575,52;343,76;-;287,76;599,52;983,28;575,52;575,52;-;-;-;-;-;-;-;-;-;287,76;-;-;-;319,76;575,52;903,28;2669,84;623,52;287,76;591,52;575,52;-;583,52;2030,32;583,52;287,76;311,76;-;-;-;-;287,76;-;-;-;-;-;-;-;-;327,76;-;-;-;-;-;-;-;-;-;-;287,76;-;-;-;-;-;-;287,76;287,76;-;287,76;-;-;-;-;-;-;-;-;-;-;-;287,76;-;-;-;-;-;-;295,76;-;-;-;-;-;-;-;-;-;-;-;-;-;303,76;-;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;33843,51
"510360 Dom Aquino";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;575,52;-;-;-;287,76;-;591,52;591,52;335,76;303,76;863,28;-;-;-;-;-;303,76;863,28;-;1726,56;-;-;-;-;-;-;-;-;-;-;-;-;-;303,76;-;-;287,76;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;303,76;-;-;-;-;-;-;-;-;-;-;-;287,76;591,52;-;303,76;-;-;-;-;-;287,76;-;9384,32
"510370 Feliz Natal";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;365,71;-;677,24;575,52;957,23;863,28;-;357,71;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;615,64;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;504,97;-;-;-;311,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;327,76;984,08;925,43;1300,87;1790,59;-;-;-;-;-;-;-;-;-;10557,79
"510380 Figueirópolis D'Oeste";-;-;-;-;-;-;261,60;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;-;-;327,71;-;-;-;-;-;-;-;-;-;-;287,76;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;607,52;287,76;-;-;-;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2635,63
"510385 Gaúcha do Norte";-;-;-;-;-;277,60;1062,40;800,80;-;-;-;-;523,20;-;-;-;-;-;-;-;-;-;-;-;1470,80;5531,44;2885,60;2901,60;863,28;287,76;591,52;-;287,76;-;-;-;863,28;863,28;287,76;287,76;1469,71;1438,80;287,76;575,52;575,52;863,28;287,76;575,52;287,76;295,76;1151,04;575,52;-;1151,04;287,76;1159,04;-;-;583,52;615,52;-;575,52;287,76;575,52;863,28;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;287,76;-;-;-;-;-;659,55;-;-;-;-;287,76;287,76;-;-;-;-;-;-;-;-;287,76;-;-;599,52;-;-;-;-;-;-;-;-;37254,38
"510390 General Carneiro";-;-;-;-;-;-;301,60;-;-;-;-;-;-;-;-;-;287,76;-;287,76;287,76;-;-;-;-;287,76;863,28;2342,08;2382,08;1454,80;287,76;287,76;287,76;-;-;-;303,76;-;1175,04;5627,44;2342,08;1582,13;575,52;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;591,52;-;-;287,76;-;-;-;-;-;-;-;2014,32;-;287,76;-;-;-;-;-;-;287,76;-;-;287,76;-;-;-;-;-;-;-;-;1750,56;591,52;1438,80;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;287,76;-;-;1220,99;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;30586,16
"510395 Glória D'Oeste";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;325,71;287,76;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;575,52;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1764,51
"510410 Guarantã do Norte";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;952,71;1151,04;-;311,76;-;287,76;-;319,76;-;287,76;863,28;575,52;895,28;287,76;-;303,76;-;-;-;-;-;3728,91;-;-;-;607,52;287,76;-;-;-;-;-;319,76;-;-;287,76;-;-;-;-;-;-;-;-;-;-;287,76;1438,80;287,76;296,15;-;-;311,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;591,52;2358,08;863,28;-;311,76;-;-;-;-;-;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;364,05;-;-;-;-;-;-;-;-;287,76;651,58;287,76;287,76;313,19;-;-;-;-;-;-;-;-;20694,83
"510450 Indiavaí";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;575,52
"510452 Ipiranga do Norte";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;785,53;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;390,11;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;902,94;693,87;-;-;-;-;-;-;-;-;-;-;-;3635,73
"510454 Itanhangá";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;303,76;-;-;-;-;-;-;-;504,34;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;746,84;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;295,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;639,92;287,76;1783,16;2276,46;-;-;-;-;-;-;-;-;-;6838,00
"510455 Itaúba";-;-;-;-;523,20;555,20;1569,60;1324,00;2965,60;2092,80;784,80;261,60;-;261,60;-;-;-;-;-;575,52;1462,80;6658,48;2062,32;2302,08;2382,08;5259,68;1167,04;-;2589,84;591,52;1167,04;-;-;-;-;-;-;-;879,28;1151,04;879,28;-;287,76;-;-;-;-;-;-;295,76;575,52;287,76;863,28;575,52;1199,04;303,76;575,52;-;591,52;-;311,76;1167,04;1438,80;2030,32;575,52;895,28;2046,32;1191,04;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;303,76;-;-;-;-;-;-;-;-;-;-;-;-;55269,44
"510460 Itiquira";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;5259,68;5483,44;9847,84;1151,04;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;295,76;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1151,04;-;1151,04;287,76;-;575,52;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;311,76;-;-;-;575,52;-;303,76;4436,40;3533,12;863,28;591,52;287,76;287,76;-;-;2014,32;2358,08;3229,36;863,28;1750,56;676,23;575,52;-;-;-;-;303,76;-;287,76;-;49603,91
"510480 Jaciara";-;-;-;-;-;261,60;-;-;-;-;-;-;-;-;-;287,76;-;1151,04;1151,04;4028,64;863,28;287,76;863,28;-;575,52;2030,32;5545,39;5648,12;1520,75;2310,08;2605,84;1151,04;287,76;575,52;-;-;287,76;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;871,28;287,76;1151,04;1167,04;575,52;575,52;863,28;-;-;-;-;-;-;295,76;287,76;295,76;871,28;-;-;287,76;-;-;-;-;-;287,76;-;-;-;-;287,76;-;-;-;-;-;-;-;287,76;-;575,52;287,76;295,76;-;-;-;-;-;-;295,76;-;-;-;-;-;-;-;-;287,76;-;295,76;-;-;287,76;-;-;-;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;295,76;-;-;-;575,52;-;-;-;-;-;-;575,52;287,76;303,76;356,29;-;287,76;-;-;-;-;-;-;287,76;-;45697,27
"510490 Jangada";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;521,88;-;-;-;-;-;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;575,52;-;-;-;-;-;-;-;-;-;-;-;-;372,12;-;-;-;-;-;-;-;-;319,76;327,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;526,68;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2931,48
"510500 Jauru";-;-;-;-;523,20;261,60;1332,00;1308,00;523,20;-;-;808,80;-;1148,88;287,76;-;-;287,76;3780,88;287,76;863,28;863,28;2621,84;2014,32;575,52;895,28;9709,08;12453,68;3197,36;1454,80;287,76;287,76;2302,08;1726,56;575,52;287,76;287,76;1151,04;7034,24;7825,52;287,76;575,52;1742,56;1522,98;575,52;895,28;575,52;863,28;575,52;863,28;615,52;-;287,76;3181,36;3469,12;1438,80;287,76;575,52;2382,08;879,28;1151,04;1167,04;575,52;2605,84;287,76;5843,20;4891,92;1151,04;-;-;-;-;-;-;-;-;-;-;365,86;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;863,28;995,46;287,76;311,76;-;-;-;-;-;958,08;-;-;-;-;110014,26
"510510 Juara";-;-;-;261,60;-;563,20;261,60;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;4509,64;4372,40;4156,64;2046,28;287,76;287,76;-;-;-;-;303,76;-;287,76;575,52;-;287,76;863,28;1151,04;-;-;311,76;2356,03;2917,60;6123,96;7088,19;3197,36;1726,56;1774,56;-;287,76;-;-;-;-;-;287,76;287,76;591,52;575,52;-;615,52;-;-;287,76;-;-;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;-;-;-;871,28;295,76;287,76;-;-;-;-;-;575,52;916,42;404,90;-;287,76;-;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;297,10;287,76;-;-;863,28;1168,04;591,52;295,76;575,52;575,52;287,76;-;287,76;-;-;562,80;-;-;59228,88
