 Morbidade Hospitalar do SUS - por local de residência - Rondônia
Óbitos por Município e Ano/mês atendimento
Período:Jan/2008-Fev/2021
"Município";"2007/Set";"2007/Out";"2007/Nov";"2007/Dez";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"Total"
"110145 Parecis";-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;2;-;1;1;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;1;-;1;-;-;1;1;-;-;-;-;-;2;2;2;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;2;1;1;-;1;-;-;-;-;-;1;-;-;-;-;1;-;-;1;-;1;-;-;1;-;-;1;-;1;-;-;-;2;-;-;-;-;1;-;1;1;-;-;-;-;-;1;-;1;45
"110018 Pimenta Bueno";-;-;1;1;1;4;5;5;1;2;2;3;5;4;2;-;6;1;5;4;7;4;3;2;3;5;3;4;3;8;4;6;1;6;5;5;2;6;7;6;6;3;3;8;5;2;4;4;4;2;5;4;6;9;6;4;6;5;2;6;5;5;7;6;12;-;6;6;8;4;4;5;15;2;10;6;8;4;6;8;6;6;9;6;6;3;7;6;12;7;11;5;5;6;5;7;5;3;7;11;8;7;10;9;12;3;8;6;5;12;8;6;6;7;8;11;6;6;10;9;10;5;7;6;5;8;6;11;7;12;8;13;5;4;8;8;8;11;5;16;8;4;11;5;6;5;5;12;7;2;7;6;11;7;11;8;10;8;5;6;6;1;967
"110146 Pimenteiras do Oeste";-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;2;2;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;1;-;1;-;1;1;1;-;-;1;-;-;-;1;2;-;-;-;-;1;1;-;1;-;-;-;1;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;1;-;-;-;1;-;-;1;-;-;-;-;-;-;-;2;1;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;2;1;-;-;-;1;1;-;-;-;2;-;1;-;-;-;-;1;-;-;-;1;-;-;-;-;-;1;-;-;-;1;-;47
"110020 Porto Velho";3;5;13;4;5;15;25;28;26;33;17;13;21;11;25;30;41;32;48;38;41;35;34;17;39;30;37;26;31;26;59;45;59;71;64;67;53;54;54;56;50;46;57;69;72;65;67;50;47;51;49;45;75;67;72;79;75;66;62;55;43;51;45;47;56;59;97;90;69;59;66;56;79;60;75;73;66;67;79;74;85;86;84;80;65;84;74;57;74;71;79;74;65;76;80;70;91;94;86;85;74;73;80;99;110;98;92;88;87;99;82;76;77;80;88;83;84;82;77;73;71;96;67;79;100;84;76;92;72;65;84;82;47;72;91;75;87;84;92;92;92;76;84;81;69;55;67;61;102;75;82;91;144;220;148;121;102;68;106;121;78;40;10814
"110025 Presidente Médici";-;-;-;-;5;2;3;1;1;4;3;-;4;2;1;2;-;2;3;1;1;2;-;4;7;2;1;2;1;2;3;3;3;2;4;4;5;2;-;5;3;6;5;-;1;1;8;1;4;5;1;4;3;6;3;3;8;1;4;7;5;5;2;4;2;6;3;5;3;4;3;4;3;6;2;3;-;1;2;2;3;-;2;2;3;3;5;6;2;2;5;8;3;4;7;5;-;6;6;3;1;1;4;6;6;4;2;5;9;5;6;3;1;5;9;3;4;8;3;6;3;4;8;4;5;4;7;4;-;2;5;3;6;3;3;4;2;1;3;7;8;3;6;4;2;3;1;1;4;5;6;6;4;3;5;4;4;4;9;3;2;-;557
"110147 Primavera de Rondônia";-;-;-;-;1;1;-;-;-;-;1;-;-;-;-;-;-;-;1;-;2;-;-;-;1;-;-;-;-;2;-;1;-;-;1;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;1;1;1;1;-;-;2;3;-;-;1;1;-;-;-;2;-;1;-;1;2;-;-;-;-;1;1;1;1;-;-;1;2;-;1;-;1;1;-;2;2;2;1;1;-;1;-;-;1;1;-;1;1;-;-;1;1;1;1;-;2;-;-;1;1;1;-;2;-;-;1;-;1;1;1;-;1;-;-;2;1;-;2;1;2;1;2;1;2;1;-;2;1;2;-;2;-;-;2;1;-;1;-;1;1;1;-;1;-;1;-;100
"110026 Rio Crespo";-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;1;-;-;1;1;-;1;-;-;-;-;1;-;1;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;1;-;1;1;1;-;-;-;2;1;-;-;-;-;-;-;-;-;-;1;1;-;1;-;-;-;-;1;1;1;1;1;2;1;1;1;-;-;-;1;1;-;1;-;-;1;2;-;1;-;-;-;1;-;2;-;-;-;1;1;2;1;1;-;-;1;-;1;1;-;-;-;-;1;2;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;57
"110028 Rolim de Moura";-;-;-;5;6;6;13;7;3;2;3;7;4;10;7;8;9;6;7;7;9;3;8;5;13;6;7;7;8;4;6;7;10;7;11;6;7;12;8;7;5;7;3;8;8;8;4;18;5;4;7;12;9;14;9;5;10;8;6;11;11;6;7;7;10;5;11;14;5;5;5;6;11;9;7;8;10;11;7;8;7;8;10;5;4;14;11;9;9;4;8;7;11;8;7;13;11;5;9;8;13;12;12;11;11;11;12;8;4;15;8;10;5;12;17;12;9;10;10;10;9;11;8;10;8;6;11;13;8;6;14;11;9;13;13;10;16;5;14;18;10;7;18;9;12;7;11;11;5;9;16;6;7;6;6;9;8;12;7;12;4;2;1372
"110029 Santa Luzia D'Oeste";-;-;-;-;2;-;2;1;2;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;1;-;-;1;-;-;-;1;2;-;1;-;-;-;-;1;1;1;-;-;1;1;-;1;2;1;-;1;1;1;-;-;-;2;-;1;1;-;1;1;-;-;4;5;-;-;4;-;4;1;1;-;1;2;2;1;3;2;-;1;-;1;2;1;1;1;1;2;1;3;2;2;1;3;1;4;4;-;-;1;2;1;2;-;3;2;-;4;-;2;3;1;-;1;1;2;4;2;-;2;1;1;-;5;-;2;2;3;1;2;2;1;4;2;2;3;2;2;3;3;2;4;1;1;2;1;-;1;2;2;2;-;2;-;189
"110148 São Felipe D'Oeste";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;1;-;2;-;1;-;1;-;-;-;-;-;-;-;-;-;2;1;-;1;-;-;-;-;-;-;1;-;1;-;-;-;-;1;1;-;2;3;1;-;2;1;1;-;-;1;2;-;2;1;1;2;2;1;1;2;-;-;1;-;-;1;2;1;2;-;1;-;1;1;2;-;-;2;-;-;-;-;1;-;5;3;-;2;1;2;3;1;-;1;-;2;1;1;-;-;2;1;3;5;-;1;1;3;-;1;-;-;3;2;3;2;1;-;-;1;-;1;3;1;1;-;-;2;2;1;1;1;1;2;1;1;3;-;-;1;-;-;1;-;-;1;-;-;-;-;130
"110149 São Francisco do Guaporé";-;-;-;-;2;-;-;1;-;1;-;-;-;1;-;-;-;1;-;1;-;-;-;1;-;-;1;-;-;-;2;-;-;-;3;-;1;3;-;-;1;-;-;-;-;-;2;-;-;-;2;-;1;2;-;1;2;-;-;-;4;1;1;1;-;1;1;1;-;1;-;-;2;1;-;-;2;1;3;-;4;2;1;2;1;-;1;-;-;1;3;1;1;-;-;2;3;2;1;3;2;-;1;1;2;4;2;3;1;-;-;2;3;5;1;3;3;4;2;2;3;2;3;1;1;3;1;6;4;-;2;-;4;2;4;5;3;4;3;2;4;2;2;1;2;2;2;2;3;3;1;4;4;2;5;4;2;1;3;1;4;1;226
"110032 São Miguel do Guaporé";-;-;-;-;-;1;1;1;-;3;2;3;2;-;1;1;1;2;4;-;1;-;1;1;1;-;1;4;1;2;1;-;1;1;1;1;3;4;2;2;3;1;-;-;1;1;4;2;2;4;1;1;3;2;1;2;1;1;1;-;-;5;3;-;2;1;3;3;2;2;2;1;2;1;4;3;2;-;3;3;1;4;2;4;1;2;4;2;3;3;3;5;3;6;4;4;4;5;5;5;1;2;5;5;3;4;6;6;2;3;3;2;3;3;7;6;6;4;4;3;2;2;1;3;5;1;2;5;1;3;4;2;3;2;2;6;9;2;3;1;4;2;7;3;6;4;4;4;5;1;3;5;6;3;2;7;6;4;4;5;4;2;421
"110150 Seringueiras";-;-;-;-;-;-;-;1;1;1;1;-;1;-;1;1;-;4;1;-;-;-;-;1;-;1;-;2;2;-;-;-;-;3;2;1;-;-;1;1;-;-;-;-;-;3;1;2;-;3;1;2;1;-;1;-;-;-;1;-;-;2;-;-;-;1;2;-;1;-;3;1;1;-;-;2;2;2;1;2;1;2;1;1;2;-;1;-;1;-;2;1;1;1;1;-;-;1;-;-;-;1;1;-;-;3;1;-;1;4;2;-;1;4;3;-;3;1;1;2;2;1;-;1;1;2;1;-;2;2;1;-;-;1;1;1;2;2;-;1;1;-;1;2;1;1;1;-;2;-;-;3;-;-;1;-;1;1;1;2;3;-;147
"110155 Teixeirópolis";-;-;-;-;-;-;-;-;1;-;1;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;2;1;-;-;-;-;1;-;-;-;1;-;1;-;1;2;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;1;-;1;-;-;-;2;1;-;-;-;-;-;1;-;-;1;-;1;-;-;-;1;-;-;-;-;-;-;1;1;-;1;1;-;3;1;-;-;1;1;-;-;1;1;1;-;-;-;1;1;1;-;-;1;-;1;-;-;1;-;-;-;-;1;-;-;1;-;-;1;-;-;-;-;-;1;-;-;1;1;-;-;1;2;-;1;-;1;-;2;-;2;-;-;-;-;-;-;60
"110160 Theobroma";-;-;-;-;-;-;-;-;-;1;-;1;-;-;2;-;1;-;3;-;1;-;-;1;-;2;-;-;-;-;2;-;-;1;1;2;-;1;-;-;2;-;-;1;-;1;-;-;1;-;-;-;1;-;2;-;-;1;-;1;1;-;1;-;4;-;-;3;-;1;-;-;-;-;-;1;1;-;1;-;3;3;2;-;-;-;2;-;-;1;1;1;3;2;-;-;-;1;3;3;1;-;1;-;2;1;-;1;1;1;-;1;-;1;1;-;2;2;1;1;-;2;1;-;1;1;-;-;1;-;2;1;1;1;1;-;2;2;3;2;1;1;2;1;1;-;2;-;-;1;1;1;1;-;1;-;-;2;2;-;-;1;123
"110170 Urupá";-;-;-;-;-;2;-;1;2;-;-;-;1;-;1;-;1;1;-;2;-;-;-;-;-;3;-;-;1;-;1;-;1;3;2;2;-;1;1;2;4;1;4;3;4;-;1;2;2;2;-;1;1;1;3;2;1;2;-;2;-;-;1;3;2;2;2;-;-;1;3;-;-;-;3;1;1;-;1;-;1;2;2;1;4;1;-;2;1;2;-;2;2;1;2;3;1;1;1;-;3;3;2;1;3;3;2;1;1;-;2;1;1;5;3;2;2;4;3;1;1;-;3;4;1;-;-;1;1;1;-;3;2;5;1;1;2;2;1;-;-;3;3;-;-;1;2;-;3;4;-;-;3;2;1;3;2;4;1;2;2;1;222
"110175 Vale do Anari";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;1;-;1;-;-;-;-;-;2;1;-;-;1;-;-;-;-;1;-;1;-;1;4;-;-;1;-;-;1;-;-;-;1;1;2;1;-;1;-;2;-;-;1;1;2;-;1;-;1;1;-;-;1;-;-;-;1;-;1;-;-;1;-;-;2;1;-;-;-;1;1;3;-;1;-;1;-;1;1;1;1;3;2;2;1;2;-;-;1;-;1;1;-;-;-;2;2;1;-;4;1;-;2;1;-;2;2;1;1;1;5;3;1;-;1;-;1;1;1;1;-;1;1;1;1;2;1;1;-;-;-;1;1;1;1;2;-;111
"110180 Vale do Paraíso";-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;1;-;-;2;-;1;-;-;-;2;-;1;2;1;-;1;1;1;-;-;3;1;-;-;-;-;1;1;-;1;3;2;3;1;1;1;2;1;-;1;-;-;1;-;-;-;-;-;1;1;-;2;-;-;1;-;-;-;1;-;-;1;-;-;1;1;1;1;-;-;1;-;2;1;-;-;1;1;-;1;1;1;-;-;-;6;2;1;1;3;2;3;1;3;-;1;1;1;3;1;1;1;-;1;-;2;-;1;1;2;-;2;1;-;1;1;-;1;2;-;1;-;-;1;-;-;1;-;-;-;1;3;2;1;3;-;1;-;-;2;-;-;-;-;2;1;-;123
"110030 Vilhena";-;1;3;7;7;10;9;3;10;14;5;4;3;7;8;12;5;8;8;5;12;10;3;9;11;15;12;12;14;8;12;15;17;11;8;10;17;9;17;18;17;14;22;13;8;19;18;12;18;10;14;14;20;18;18;14;12;15;11;16;19;18;15;13;19;14;17;19;9;13;16;17;17;20;13;15;23;18;23;17;17;26;14;25;13;20;20;18;15;12;14;21;19;21;19;18;17;18;21;17;17;24;18;18;19;15;12;17;17;22;17;19;23;16;25;20;16;16;20;25;21;18;18;15;29;12;24;18;32;22;27;28;24;21;30;26;21;22;20;29;18;25;18;29;27;21;20;18;20;21;27;24;36;29;27;53;36;22;17;29;50;7;2779
"Total";3;8;29;31;78;78;114;100;100;114;89;80;86;93;91;98;132;105;144;124;128;107;110;122;153;131;126;110;128;131;182;166;186;185;194;204;206;188;195;197;179;154;200;218;198;193;217;198;175;183;192;159;227;237;211;215;221;200;183;205;201;201;194;198;241;198;262;257;206;190;231;231;225;203;236;226;266;217;243;265;279;284;262;251;228;257;264;246;240;231;271;261;269;273;263;271;269;288;273;276;278;267;308;329;343;308;305;307;283;322;267;258;271;290;367;317;299;299;311;287;282;287;246;254;332;273;289;315;282;266;289;310;240;274;310;296;303;261;280;347;316;262;302;270;269;259;251;251;307;252;272;260;377;439;373;412;331;277;319;323;271;84;36787
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Situação da base de dados nacional em 29/04/2016.
 Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
 
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
