DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Município infecção e Mês 1º Sintoma(s)
Período:2020
"Município infecção";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"411050 Ipiranga";1;2;-;-;-;-;-;-;-;-;-;-;3
"411060 Iporã";18;154;256;90;26;1;-;-;1;-;-;1;547
"411065 Iracema do Oeste";13;193;210;26;5;1;-;-;-;-;-;1;449
"411070 Irati";1;1;3;-;-;-;-;-;-;-;-;-;5
"411080 Iretama";95;211;467;339;128;14;9;2;4;1;1;2;1273
"411090 Itaguajé";142;119;4;1;1;4;2;1;-;-;-;2;276
"411095 Itaipulândia";-;42;120;99;32;1;2;-;1;-;-;-;297
"411100 Itambaracá";6;24;42;12;1;-;-;-;-;-;-;-;85
"411110 Itambé";9;51;75;44;25;9;-;-;1;-;-;-;214
"411120 Itapejara d'Oeste";-;-;-;-;-;-;1;-;-;-;-;-;1
"411130 Itaúna do Sul";32;206;180;41;6;3;-;1;-;-;1;-;470
"411150 Ivaiporã";513;666;115;57;34;5;3;-;-;-;1;29;1423
"411155 Ivaté";9;118;91;46;19;5;2;-;-;-;1;-;291
"411160 Ivatuba";94;71;3;-;1;-;-;-;-;1;-;3;173
"411170 Jaboti";-;-;1;-;2;-;-;-;-;-;-;-;3
"411180 Jacarezinho";614;887;443;120;49;11;2;-;-;-;4;48;2178
"411190 Jaguapitã";3;16;33;23;31;7;1;-;1;1;-;-;116
"411210 Jandaia do Sul";15;36;96;74;37;2;-;-;-;-;-;-;260
"411220 Janiópolis";-;18;25;19;6;-;-;-;-;-;1;-;69
"411240 Japurá";7;50;58;24;12;-;-;2;-;1;-;-;154
"411250 Jardim Alegre";130;298;123;44;12;-;-;-;1;-;1;1;610
"411260 Jardim Olinda";9;26;20;22;5;1;-;-;-;-;-;-;83
"411270 Jataizinho";28;83;115;30;23;6;9;2;1;2;-;2;301
"411275 Jesuítas";149;191;46;23;7;1;-;1;-;-;-;8;426
"411280 Joaquim Távora";-;-;4;4;2;1;1;-;-;-;-;-;12
"411290 Jundiaí do Sul";-;-;10;20;22;-;2;-;-;-;-;-;54
"411295 Juranda";126;178;171;91;31;4;-;-;-;-;-;22;623
"411300 Jussara";25;106;82;67;40;4;-;-;1;-;-;-;325
"411310 Kaloré";-;3;8;12;22;1;-;-;-;-;-;-;46
"411325 Laranjal";-;-;-;2;3;-;1;-;-;-;-;-;6
"411330 Laranjeiras do Sul";-;-;2;1;-;-;-;-;-;-;-;-;3
"411340 Leópolis";-;4;4;-;1;-;-;-;-;-;-;-;9
"411342 Lidianópolis";-;8;9;17;13;3;-;-;-;-;-;-;50
"411345 Lindoeste";2;5;6;51;17;3;-;2;1;-;-;-;87
"411350 Loanda";89;291;202;127;44;4;2;4;1;1;-;2;767
"411360 Lobato";7;37;28;14;5;2;-;-;-;-;-;-;93
"411370 Londrina";3781;12904;7843;402;42;23;20;68;51;53;14;130;25331
"411373 Luiziana";1;2;1;1;-;-;-;-;-;-;-;-;5
"411375 Lunardelli";24;47;45;45;10;1;-;-;-;-;-;-;172
"411380 Lupionópolis";34;168;81;57;36;8;8;1;1;-;1;-;395
"411400 Mamborê";1;23;62;95;67;3;-;-;1;-;-;-;252
"411410 Mandaguaçu";59;291;404;277;91;10;6;5;-;2;5;3;1153
"411420 Mandaguari";21;77;380;382;148;35;10;2;1;2;1;2;1061
"411430 Mandirituba";-;-;1;-;-;-;-;-;-;-;-;-;1
"411435 Manfrinópolis";-;-;-;-;-;1;-;-;-;-;-;-;1
"411440 Mangueirinha";-;-;-;-;-;-;1;-;-;-;-;-;1
"411450 Manoel Ribas";-;6;7;1;-;-;-;-;1;-;-;-;15
"411460 Marechal Cândido Rondon";103;876;658;235;53;11;2;2;-;-;-;1;1941
"411470 Maria Helena";7;60;54;48;21;3;1;-;-;1;-;-;195
"411480 Marialva";139;440;469;254;56;12;2;1;-;2;2;1;1378
"411490 Marilândia do Sul";1;5;47;22;6;-;-;-;-;-;-;2;83
"411500 Marilena";15;44;50;72;23;4;13;-;1;1;1;-;224
"411510 Mariluz";3;29;84;108;55;12;-;1;2;-;4;1;299
"411520 Maringá";1781;4987;2694;1447;562;58;23;15;14;16;14;52;11663
"411535 Maripá";18;130;221;114;19;1;-;-;-;-;-;2;505
"411540 Marmeleiro";-;9;22;11;2;6;3;3;1;-;-;-;57
"411545 Marquinho";-;1;-;-;-;-;-;-;-;-;-;-;1
"411550 Marumbi";4;10;12;3;2;-;-;-;-;-;-;-;31
"411560 Matelândia";1;9;50;49;30;7;-;-;-;-;1;-;147
"411570 Matinhos";3;2;23;42;15;12;2;-;-;-;-;-;99
"411575 Mauá da Serra";2;9;18;8;4;-;-;1;-;-;-;-;42
"411580 Medianeira";17;200;922;330;112;41;1;1;1;1;-;2;1628
"411585 Mercedes";2;46;70;70;24;3;3;-;-;-;-;-;218
"411590 Mirador";28;20;54;35;20;5;3;1;-;1;-;2;169
"411600 Miraselva";7;2;16;3;-;4;-;-;-;-;-;-;32
"411605 Missal";5;36;99;49;26;3;1;-;-;-;-;3;222
"411610 Moreira Sales";-;26;19;6;21;17;5;3;1;-;-;-;98
"411620 Morretes";-;2;4;16;7;-;-;-;-;-;-;-;29
"411630 Munhoz de Melo";18;71;108;115;43;5;2;-;-;-;-;-;362
"411640 Nossa Senhora das Graças";181;271;5;3;3;-;1;-;-;1;-;6;471
"411650 Nova Aliança do Ivaí";33;37;-;5;-;-;-;-;-;-;-;-;75
"411660 Nova América da Colina";4;9;29;23;5;-;-;-;-;-;-;-;70
"411670 Nova Aurora";189;435;291;138;29;4;3;2;2;2;4;4;1103
"411680 Nova Cantu";22;33;6;2;1;-;-;-;-;2;-;5;71
"411690 Nova Esperança";339;937;603;220;60;3;4;1;-;1;-;7;2175
"411700 Nova Fátima";3;44;121;122;69;17;-;-;-;-;-;-;376
"411705 Nova Laranjeiras";-;-;2;3;-;2;-;-;-;-;-;-;7
"411710 Nova Londrina";76;272;227;72;22;3;-;2;1;1;3;9;688
"411720 Nova Olímpia";15;127;115;1;1;-;1;-;-;-;1;-;261
"411725 Nova Prata do Iguaçu";-;1;8;3;4;-;-;-;-;-;-;-;16
"411721 Nova Santa Bárbara";2;36;23;15;9;-;-;1;-;-;1;-;87
"411722 Nova Santa Rosa";-;25;168;191;54;2;-;-;-;-;-;1;441
"411727 Nova Tebas";-;3;8;6;3;-;-;-;-;-;-;-;20
"411729 Novo Itacolomi";-;-;3;17;14;1;-;-;-;-;-;-;35
"411730 Ortigueira";-;2;40;13;8;3;1;-;-;-;-;-;67
"411740 Ourizona";35;153;158;83;16;2;1;-;-;-;-;-;448
"411745 Ouro Verde do Oeste";26;141;66;28;12;3;-;1;-;-;1;-;278
"411750 Paiçandu";99;378;240;79;20;5;1;-;1;1;-;1;825
"411760 Palmas";-;1;-;-;-;-;-;-;-;-;-;-;1
"411780 Palmital";-;5;47;32;10;-;-;-;-;-;-;-;94
"411790 Palotina";86;401;560;373;156;36;8;2;1;-;-;5;1628
"411800 Paraíso do Norte";192;214;139;71;28;7;1;5;3;3;1;5;669
"411810 Paranacity";273;151;26;9;2;-;-;-;-;-;4;49;514
"411820 Paranaguá";10;46;140;737;1015;611;408;120;1;2;4;-;3094
"411830 Paranapoema";123;218;64;9;8;-;-;-;1;-;-;7;430
"411840 Paranavaí";3406;1883;765;270;76;50;11;9;6;8;16;186;6686
"411845 Pato Bragado";8;95;143;95;4;1;-;-;-;-;-;-;346
"411850 Pato Branco";-;23;44;8;-;-;3;-;-;-;1;-;79
"411880 Peabiru";336;445;118;29;5;-;5;3;-;-;1;24;966
"411885 Perobal";24;271;474;139;41;5;5;-;-;1;-;-;960
"411890 Pérola";3;173;322;92;31;10;17;2;1;1;1;2;655
"411900 Pérola d'Oeste";-;1;13;32;11;4;5;6;2;-;-;-;74
"411920 Pinhalão";-;-;2;6;1;-;-;1;-;-;-;-;10
"411930 Pinhão";-;-;-;-;1;-;1;-;-;-;-;-;2
"411960 Pitanga";1;3;5;10;2;-;-;-;1;-;-;-;22
"411965 Pitangueiras";3;15;11;15;17;-;-;-;1;-;-;-;62
"411970 Planaltina do Paraná";39;42;30;6;8;1;-;-;-;1;-;7;134
"411980 Planalto";1;7;34;98;30;7;8;-;1;-;-;-;186
"411990 Ponta Grossa";-;5;5;3;-;-;-;-;-;1;3;-;17
"411995 Pontal do Paraná";2;10;15;14;81;9;-;-;-;-;-;1;132
"412000 Porecatu";207;523;176;47;21;8;2;-;-;-;1;4;989
"412015 Porto Barreiro";-;-;-;1;-;-;-;-;-;-;-;-;1
"412020 Porto Rico";40;88;39;28;13;4;7;2;-;-;-;-;221
"412033 Prado Ferreira";8;6;18;44;1;2;-;-;-;3;-;-;82
"412035 Pranchita";-;-;1;14;7;-;-;-;-;-;-;-;22
"412040 Presidente Castelo Branco";108;218;117;14;14;3;-;-;-;-;-;1;475
"412050 Primeiro de Maio";45;219;114;28;9;1;1;-;-;-;-;-;417
"412060 Prudentópolis";1;-;2;-;-;-;-;-;-;-;-;-;3
"412065 Quarto Centenário";-;13;39;63;17;-;-;-;-;-;-;-;132
"412070 Quatiguá";1;5;6;2;1;-;-;-;-;-;-;-;15
"412085 Quatro Pontes";141;341;61;30;9;4;-;-;-;-;-;1;587
"412090 Quedas do Iguaçu";10;165;552;377;87;4;-;-;-;1;1;-;1197
"412100 Querência do Norte";126;557;337;165;86;21;1;-;1;2;-;3;1299
"412110 Quinta do Sol";238;132;42;10;5;3;-;-;-;1;4;36;471
"412125 Ramilândia";-;-;56;12;2;-;-;-;-;-;-;-;70
"412130 Rancho Alegre";4;6;15;10;1;2;1;-;-;-;-;-;39
"412135 Rancho Alegre D'Oeste";1;9;8;2;-;-;1;-;-;-;-;-;21
"412140 Realeza";4;63;210;220;99;9;-;1;-;-;1;-;607
"412170 Reserva";-;-;1;2;-;-;-;-;-;-;-;-;3
"412180 Ribeirão Claro";3;6;30;30;10;2;-;-;-;-;-;2;83
"412190 Ribeirão do Pinhal";-;25;77;21;-;1;-;-;-;-;-;-;124
"412210 Rio Bom";-;-;1;4;-;-;1;-;-;-;1;-;7
"412215 Rio Bonito do Iguaçu";-;-;1;-;-;-;-;-;-;-;-;-;1
"412240 Rolândia";286;1543;2256;1317;555;175;100;21;1;11;5;25;6295
"412250 Roncador";10;22;24;40;32;6;2;2;-;-;-;1;139
"412260 Rondon";17;54;41;64;28;6;1;2;1;1;-;-;215
"412265 Rosário do Ivaí";2;-;40;60;29;3;-;-;-;-;-;-;134
"412270 Sabáudia";-;26;95;91;35;2;-;-;-;-;-;-;249
"412290 Salto do Itararé";-;5;4;21;4;-;2;1;-;-;-;-;37
"412300 Salto do Lontra";6;26;187;56;1;1;1;1;-;-;-;-;279
"412310 Santa Amélia";2;4;13;13;18;1;-;-;-;2;-;-;53
"412320 Santa Cecília do Pavão";1;6;33;83;32;5;1;-;-;-;-;-;161
"412330 Santa Cruz de Monte Castelo";15;258;333;138;125;21;1;-;5;2;-;-;898
"412340 Santa Fé";231;311;84;46;10;1;1;4;5;-;-;31;724
"412350 Santa Helena";33;268;706;321;65;2;1;-;1;9;5;12;1423
"412360 Santa Inês";145;171;17;5;1;-;-;-;-;1;-;7;347
"412370 Santa Isabel do Ivaí";679;296;56;9;1;4;-;2;3;1;-;59;1110
"412380 Santa Izabel do Oeste";7;63;166;113;58;4;-;-;-;-;-;-;411
"412382 Santa Lúcia";-;2;7;6;4;1;-;-;-;-;-;-;20
"412390 Santa Mariana";1;15;37;24;32;2;-;-;1;-;-;2;114
"412395 Santa Mônica";74;82;68;23;1;1;1;-;1;-;-;-;251
"412402 Santa Tereza do Oeste";8;13;85;56;19;1;-;-;1;-;-;1;184
"412405 Santa Terezinha de Itaipu";12;80;267;214;107;24;12;5;7;5;2;2;737
"412400 Santana do Itararé";-;-;1;-;-;-;-;-;-;-;-;-;1
"412410 Santo Antônio da Platina";63;584;665;452;140;19;-;-;-;-;-;4;1927
"412420 Santo Antônio do Caiuá";159;216;55;28;1;1;-;-;-;2;4;5;471
"412430 Santo Antônio do Paraíso";-;1;4;2;1;-;-;-;-;-;-;-;8
"412440 Santo Antônio do Sudoeste";1;22;50;123;38;3;1;-;-;-;4;1;243
"412450 Santo Inácio";54;67;7;6;1;-;-;-;1;-;-;-;136
"412460 São Carlos do Ivaí";22;40;35;20;9;-;-;-;-;-;3;1;130
"412470 São Jerônimo da Serra";-;1;5;6;3;1;4;1;-;1;-;-;22
"412480 São João";-;7;48;72;11;-;-;-;1;1;-;-;140
"412490 São João do Caiuá";161;239;39;1;-;-;-;-;-;-;-;1;441
"412500 São João do Ivaí";10;44;88;82;42;12;3;-;-;1;-;-;282
"412520 São Jorge d'Oeste";-;-;5;8;6;-;-;-;-;-;-;-;19
"412530 São Jorge do Ivaí";25;104;82;62;12;-;-;-;-;-;1;1;287
"412535 São Jorge do Patrocínio";-;21;80;142;33;22;4;2;-;1;-;-;305
"412545 São José das Palmeiras";-;-;-;1;2;-;-;-;-;-;-;-;3
"412550 São José dos Pinhais";1;-;-;-;-;-;-;-;-;-;-;-;1
"412555 São Manoel do Paraná";2;4;15;26;9;-;-;-;-;-;-;-;56
"412570 São Miguel do Iguaçu";2;17;2;2;1;6;1;-;-;-;-;-;31
"412575 São Pedro do Iguaçu";1;11;112;102;26;3;-;-;-;-;-;1;256
"412580 São Pedro do Ivaí";18;97;79;24;5;1;1;-;-;-;-;-;225
"412590 São Pedro do Paraná";33;18;17;35;11;3;-;-;-;-;-;5;122
"412600 São Sebastião da Amoreira";-;32;37;51;41;3;-;2;-;-;-;-;166
"412610 São Tomé";-;25;31;42;5;6;3;4;1;11;-;-;128
"412620 Sapopema";-;-;-;3;5;-;-;-;-;-;-;1;9
"412625 Sarandi";1464;3183;873;184;41;10;9;3;1;3;1;76;5848
"412627 Saudade do Iguaçu";-;-;1;3;2;-;-;-;-;-;-;-;6
"412630 Sengés";1;1;6;17;20;1;-;-;1;-;33;72;152
"412635 Serranópolis do Iguaçu";2;17;40;44;21;1;-;-;1;-;34;32;192
"412640 Sertaneja";124;150;52;18;6;1;1;-;-;-;-;17;369
"412650 Sertanópolis";17;78;682;364;155;14;1;2;-;-;-;1;1314
"412660 Siqueira Campos";-;-;2;-;2;-;-;-;-;-;-;-;4
"412665 Sulina";-;-;-;-;1;-;-;-;-;-;-;-;1
"412667 Tamarana";4;45;117;56;34;6;2;1;1;1;-;-;267
"412670 Tamboara";191;86;29;-;1;-;-;1;1;1;-;6;316
"412680 Tapejara";43;344;596;363;32;1;1;1;-;-;1;1;1383
"412690 Tapira";-;4;26;15;16;1;-;-;-;-;-;-;62
"412710 Telêmaco Borba";-;4;11;20;8;-;-;-;-;-;-;-;43
"412720 Terra Boa";229;520;387;237;81;6;2;4;1;2;1;16;1486
"412730 Terra Rica";268;317;125;39;12;12;3;1;-;-;2;17;796
"412740 Terra Roxa";14;42;100;29;27;1;-;1;1;-;-;1;216
"412750 Tibagi";-;-;-;14;6;13;4;-;-;-;-;-;37
"412770 Toledo";52;632;2139;1363;453;66;5;1;-;2;1;1;4715
"412780 Tomazina";-;-;10;-;3;-;-;-;-;-;-;-;13
"412785 Três Barras do Paraná";-;1;3;2;1;2;-;-;-;-;2;-;11
"412790 Tuneiras do Oeste";9;95;125;73;14;2;1;1;-;-;-;-;320
"412795 Tupãssi";49;185;272;62;10;-;1;1;-;-;-;-;580
"412796 Turvo";-;-;1;-;-;-;-;-;-;-;-;-;1
"412800 Ubiratã";28;329;382;261;116;19;1;1;1;5;20;4;1167
"412810 Umuarama";348;1452;2760;1075;310;65;14;9;16;10;7;17;6083
"412830 Uniflor";58;39;9;2;3;1;-;1;-;-;-;2;115
"412840 Uraí";19;44;35;47;25;7;5;2;3;-;-;2;189
"412855 Vera Cruz do Oeste";-;24;92;82;23;3;-;-;-;-;-;-;224
"412860 Verê";-;1;2;6;3;-;-;-;-;-;-;-;12
"412850 Wenceslau Braz";1;-;-;-;-;-;-;-;-;-;-;-;1
"412880 Xambrê";32;212;94;18;4;2;1;-;1;2;1;-;367
"420010 Abelardo Luz";-;-;-;-;4;10;4;-;-;-;-;-;18
"420050 Águas de Chapecó";-;8;6;8;3;-;-;-;-;-;-;-;25
"420080 Anchieta";-;-;7;2;-;-;-;-;-;-;-;-;9
"420130 Araquari";-;-;-;3;3;3;-;-;-;-;-;-;9
"420200 Balneário Camboriú";5;17;35;87;65;11;1;-;-;-;-;-;221
"421280 Balneário Piçarras";-;-;1;1;-;-;-;-;-;-;-;-;2
"420210 Barra Velha";-;-;-;-;-;1;-;-;-;-;-;-;1
"420240 Blumenau";1;-;-;2;-;-;1;-;-;1;-;1;6
"420253 Bom Jesus";-;-;-;1;-;-;-;-;-;-;-;-;1
"420245 Bombinhas";-;3;17;72;36;10;-;1;-;-;1;-;140
"420290 Brusque";-;4;2;7;10;3;-;-;2;1;1;1;31
"420310 Caibi";-;-;3;10;12;3;1;-;-;-;-;-;29
"420320 Camboriú";-;2;7;8;7;-;-;-;-;-;1;-;25
"420350 Campo Erê";-;-;-;-;-;-;-;-;-;-;1;3;4
"420420 Chapecó";1;5;28;60;20;7;1;2;6;3;5;4;142
"420435 Cordilheira Alta";-;-;-;1;-;-;-;-;-;-;-;-;1
"420440 Coronel Freitas";-;-;34;36;11;-;1;2;-;-;1;-;85
"420460 Criciúma";-;-;1;-;-;-;-;-;-;-;-;-;1
"420470 Cunha Porã";-;-;-;3;2;3;-;-;-;-;-;-;8
"420500 Dionísio Cerqueira";-;-;3;5;1;1;-;-;-;-;-;-;10
"420517 Entre Rios";-;-;-;-;1;-;-;-;-;1;-;-;2
"420540 Florianópolis";4;5;6;6;15;4;1;-;-;1;1;-;43
"420543 Formosa do Sul";-;-;2;16;19;8;-;-;-;-;-;-;45
"420580 Garuva";-;1;-;-;-;-;-;1;-;-;-;-;2
"420590 Gaspar";1;-;-;-;-;-;-;-;-;-;-;-;1
"420640 Guaraciaba";-;-;-;-;1;-;-;-;-;-;-;-;1
"420660 Guarujá do Sul";-;-;-;1;-;-;-;-;-;-;-;-;1
"420730 Imbituba";1;-;-;-;-;-;-;-;-;-;-;-;1
"420768 Ipuaçu";-;-;2;6;3;2;1;-;-;-;-;-;14
"420780 Irani";-;1;-;-;-;-;-;-;-;-;-;-;1
"420785 Irati";-;-;-;2;2;-;-;1;-;-;-;-;5
"420820 Itajaí";2;17;44;54;40;23;7;1;1;1;4;1;195
"420830 Itapema";3;5;9;38;13;-;-;-;-;-;1;-;69
"420840 Itapiranga";-;-;-;2;1;-;1;1;-;-;-;-;5
"420845 Itapoá";1;-;1;-;-;-;-;-;-;-;-;-;2
"420880 Jaguaruna";1;-;-;-;-;-;-;-;-;-;-;-;1
"420890 Jaraguá do Sul";2;-;-;-;1;-;-;-;-;-;-;-;3
"420910 Joinville";11;178;1149;3206;3023;968;154;13;3;8;2;3;8718
"421050 Maravilha";1;14;24;54;19;7;2;-;-;-;-;2;123
"421060 Massaranduba";-;-;-;-;-;-;-;-;-;-;1;-;1
"421100 Mondaí";-;-;-;-;-;8;4;2;-;1;-;1;16
"421130 Navegantes";-;3;29;72;116;32;9;1;-;-;1;-;263
"421140 Nova Erechim";-;-;1;2;1;-;-;-;-;-;-;-;4
"421145 Nova Itaberaba";-;-;3;-;-;-;-;-;-;-;-;-;3
"421200 Palma Sola";-;-;3;4;1;1;2;-;1;-;-;-;12
"421210 Palmitos";-;-;2;16;3;-;-;-;-;-;1;-;22
"421250 Penha";-;2;4;-;-;-;-;-;-;1;-;-;7
"421290 Pinhalzinho";-;1;5;6;4;-;-;-;-;-;2;-;18
"421350 Porto Belo";-;4;1;1;-;-;1;-;-;-;-;-;7
"421360 Porto União";-;1;-;-;-;-;-;-;-;-;-;-;1
"421380 Praia Grande";-;-;1;-;-;-;-;-;-;-;-;-;1
"421507 Riqueza";-;-;-;-;1;-;2;2;-;-;-;-;5
"421568 Santa Terezinha do Progresso";-;-;-;-;-;1;-;-;-;-;-;-;1
"421580 São Bento do Sul";-;-;1;-;-;-;-;-;-;-;-;-;1
"421600 São Carlos";-;4;69;35;6;-;-;-;-;-;-;-;114
"421620 São Francisco do Sul";1;-;2;3;2;3;1;-;-;-;-;-;12
"421660 São José";-;2;3;-;3;-;-;-;-;-;-;-;8
"421670 São José do Cedro";-;-;1;13;7;-;1;-;-;-;-;-;22
"421690 São Lourenço do Oeste";-;-;-;1;-;-;-;-;-;-;-;-;1
"421720 São Miguel do Oeste";1;8;88;32;7;1;-;-;-;-;1;-;138
"421730 Saudades";-;-;-;1;1;1;-;-;-;-;-;-;3
"421800 Tijucas";-;2;8;90;116;28;7;-;-;-;1;-;252
"421950 Xanxerê";-;1;-;2;2;-;-;-;-;-;-;-;5
"421970 Xaxim";-;-;2;3;3;-;2;-;-;-;1;4;15
"420000 Município ignorado - SC";1;-;-;-;-;-;-;-;-;-;-;-;1
"430020 Ajuricaba";-;-;-;2;1;-;2;-;1;-;-;-;6
"430040 Alegrete";-;-;1;-;-;-;-;-;-;-;-;-;1
"430215 Boa Vista das Missões";3;18;5;1;-;-;-;-;-;-;-;-;27
"430237 Bom Progresso";-;-;15;17;4;-;-;-;-;-;-;-;36
"430340 Caiçara";-;-;-;1;-;-;-;-;-;-;-;-;1
"430400 Campo Novo";-;-;-;4;1;-;2;-;-;-;-;-;7
"430430 Cândido Godói";-;-;4;6;-;1;-;-;1;-;-;1;13
"430440 Canela";-;-;-;-;-;-;1;-;-;-;-;-;1
"430460 Canoas";-;3;22;20;22;3;-;1;-;-;-;-;71
"430463 Capão da Canoa";-;1;-;-;-;-;-;-;-;-;-;-;1
"430470 Carazinho";-;-;-;1;-;-;-;-;-;-;-;-;1
"430510 Caxias do Sul";-;-;-;1;-;-;-;-;-;-;-;-;1
"430520 Cerro Largo";4;58;95;24;4;2;1;-;3;-;-;-;191
"430580 Constantina";-;52;125;68;22;-;-;-;-;-;1;1;269
"430590 Coronel Bicaco";-;5;83;142;21;2;-;-;1;1;-;-;255
"430600 Crissiumal";-;-;5;2;4;-;-;-;-;-;-;-;11
"430610 Cruz Alta";1;-;3;7;1;-;-;-;-;-;-;-;12
"430635 Dezesseis de Novembro";-;-;-;-;-;-;-;-;-;-;-;1;1
"430642 Dois Irmãos das Missões";-;-;-;1;-;-;-;-;-;-;-;-;1
"430660 Dom Pedrito";-;-;-;-;-;-;2;-;-;1;-;-;3
"430690 Encruzilhada do Sul";-;-;1;-;-;-;-;-;-;-;-;1;2
"430695 Entre Rios do Sul";-;-;1;-;-;-;-;-;-;-;-;-;1
"430693 Entre-Ijuís";-;-;-;4;3;-;1;1;-;-;-;-;9
"430745 Esperança do Sul";-;-;-;7;3;1;-;-;-;-;-;-;11
"430750 Espumoso";-;-;-;8;-;1;-;-;-;-;1;-;10
"430760 Estância Velha";-;-;2;15;12;2;-;1;-;-;-;-;32
"430770 Esteio";-;-;1;2;1;1;-;-;-;-;-;-;5
"430783 Eugênio de Castro";-;-;-;1;-;-;-;-;-;-;-;-;1
"430850 Frederico Westphalen";-;1;3;2;-;-;-;-;-;-;-;-;6
"430900 Giruá";-;-;2;10;-;1;-;-;-;1;2;-;16
"430910 Gramado";-;1;-;-;-;-;-;-;-;-;-;-;1
"430920 Gravataí";-;-;-;-;1;-;-;-;-;-;-;-;1
"430950 Guarani das Missões";-;-;2;-;1;1;-;-;1;-;-;-;5
"430960 Horizontina";-;-;5;3;-;2;-;-;-;-;-;-;10
"430970 Humaitá";-;4;-;-;-;-;-;-;-;-;-;-;4
"431000 Ibirubá";-;-;4;9;4;-;-;-;-;-;-;-;17
"431020 Ijuí";1;7;23;40;10;2;2;-;-;-;2;2;89
"431080 Ivoti";-;-;-;1;-;-;-;-;-;-;-;-;1
"431100 Jaguarão";1;-;-;-;-;-;-;-;-;-;-;-;1
"431115 Jóia";-;-;1;-;-;-;-;-;-;-;1;-;2
"431160 Liberato Salzano";-;-;2;23;9;-;-;-;-;-;-;-;34
"431180 Marau";-;-;-;-;1;-;-;-;-;-;-;-;1
"431215 Mato Leitão";-;-;-;-;-;-;-;-;-;-;-;1;1
"431230 Miraguaí";-;2;8;3;2;-;-;-;-;-;-;-;15
"431240 Montenegro";-;-;-;-;1;-;-;-;-;-;-;-;1
"431265 Não-Me-Toque";-;-;-;-;-;-;-;-;-;1;-;-;1
"431306 Nova Hartz";-;-;1;1;-;-;-;-;-;-;-;-;2
"431337 Nova Santa Rita";-;-;-;-;-;-;-;-;1;-;-;-;1
"431349 Novo Barreiro";-;1;-;5;-;-;-;-;-;-;-;-;6
"431340 Novo Hamburgo";1;2;-;1;3;-;-;-;-;-;-;-;7
"431342 Novo Machado";-;-;-;1;-;-;-;-;-;-;-;-;1
"431370 Palmeira das Missões";-;-;2;-;-;-;-;-;-;-;-;-;2
"431380 Palmitinho";1;3;37;76;18;5;1;-;-;-;-;-;141
"431390 Panambi";-;3;2;12;4;-;1;-;-;-;-;-;22
"431410 Passo Fundo";-;-;1;1;-;-;-;-;-;-;-;-;2
"431430 Pejuçara";-;-;-;1;-;-;-;-;-;-;-;-;1
"431440 Pelotas";-;-;-;-;-;-;-;-;-;-;-;1;1
"431490 Porto Alegre";1;2;2;5;-;-;-;-;-;-;-;-;10
"431507 Porto Vera Cruz";-;-;2;5;-;-;-;-;-;-;-;-;7
"431535 Quinze de Novembro";1;-;-;-;-;-;-;-;-;-;-;-;1
"431560 Rio Grande";-;1;-;-;-;-;-;-;-;-;-;-;1
"431595 Rolador";-;-;-;-;1;-;-;-;-;-;-;-;1
"431643 Saldanha Marinho";-;-;-;-;-;-;-;1;-;-;-;-;1
"431647 Salvador das Missões";-;-;1;6;-;-;-;-;-;-;-;-;7
"431710 Sant'Ana do Livramento";-;1;1;-;-;-;-;1;-;-;-;-;3
"431670 Santa Bárbara do Sul";-;-;-;-;-;1;-;-;-;-;-;-;1
"431680 Santa Cruz do Sul";-;-;-;-;-;1;-;-;-;-;-;-;1
"431690 Santa Maria";1;3;24;112;77;9;2;2;-;1;1;-;232
"431695 Santa Maria do Herval";2;-;-;-;-;-;-;-;-;-;-;-;2
"431720 Santa Rosa";1;5;52;120;35;3;-;-;-;-;-;-;216
"431750 Santo Ângelo";1;14;91;221;80;11;-;1;-;-;1;1;421
"431760 Santo Antônio da Patrulha";1;1;-;-;-;-;-;-;-;-;-;-;2
"431780 Santo Augusto";-;1;9;20;8;-;-;-;-;-;-;-;38
"431790 Santo Cristo";1;94;120;49;10;3;-;1;-;-;1;3;282
"431810 São Francisco de Assis";-;-;-;1;-;-;-;-;-;-;-;-;1
"431830 São Gabriel";-;-;-;2;-;-;-;-;-;-;-;-;2
"431840 São Jerônimo";-;-;1;-;-;-;-;-;-;-;-;-;1
"431849 São José do Inhacorá";-;-;-;-;-;-;-;-;1;-;-;-;1
"431870 São Leopoldo";-;1;-;-;-;-;-;-;-;-;-;-;1
"431890 São Luiz Gonzaga";-;-;1;2;3;-;-;-;-;-;-;-;6
"431912 São Martinho da Serra";-;-;-;-;-;1;-;-;-;-;-;-;1
"431930 São Paulo das Missões";-;-;1;3;1;-;-;-;-;-;-;-;5
"431937 São Pedro do Butiá";-;-;-;4;-;-;-;-;-;-;-;-;4
"431973 São Valério do Sul";-;-;-;1;-;-;-;-;-;-;-;-;1
"432000 Sapucaia do Sul";-;-;-;1;1;-;-;-;-;-;-;2;4
"432010 Sarandi";-;-;8;17;2;-;-;-;-;1;-;-;28
"432020 Seberi";-;-;-;-;1;-;-;-;-;-;-;-;1
"432023 Sede Nova";-;-;-;-;1;-;-;-;-;-;-;-;1
"432030 Selbach";-;1;1;-;-;-;-;-;-;-;1;-;3
