 Procedimentos hospitalares do SUS - por local de residência - Paraná
Valor total por Procedimento
Município: 411370 Londrina
Período:Jan-Abr/2019
"Procedimento";"Valor_total"
"0406020442 REVASCULARIZAÇÃO POR PONTE / TROMBOENDARTERECTOMIA FEMURO-POPLÍTEA DISTAL";7757,78
"0406020485 TRATAMENTO CIRURGICO DE ANEURISMAS DAS ARTERIAS VISCERAIS";1709,69
"0406020493 TRATAMENTO CIRURGICO DE LESOES VASCULARES TRAUMATICAS DA REGIAO CERVICAL";14429,22
"0406020566 TRATAMENTO CIRURGICO DE VARIZES (BILATERAL)";134230,12
"0406020574 TRATAMENTO CIRÚRGICO DE VARIZES (UNILATERAL)";1933,48
"0406020590 TROMBECTOMIA DO SISTEMA VENOSO";1230,30
"0406030014 ANGIOPLASTIA CORONARIANA";52114,71
"0406030022 ANGIOPLASTIA CORONARIANA C/ IMPLANTE DE DOIS STENTS";482013,73
"0406030030 ANGIOPLASTIA CORONARIANA COM IMPLANTE DE STENT";524268,78
"0406030049 ANGIOPLASTIA CORONARIANA PRIMÁRIA";76020,17
"0406030057 ANGIOPLASTIA COM IMPLANTE DE DUPLO STENT EM AORTA/ARTERIA PULMONAR E RAMOS";2668,65
"0406040028 ANGIOPLASTIA INTRALUMINAL DE AORTA, VEIA CAVA / VASOS ILÍACOS (COM STENT)";22833,04
"0406040052 ANGIOPLASTIA INTRALUMINAL DE VASOS DAS EXTREMIDADES (SEM STENT)";22665,69
"0406040060 ANGIOPLASTIA INTRALUMINAL DE VASOS DAS EXTREMIDADES (COM STENT NÃO RECOBERTO)";4087,38
"0406040095 ANGIOPLASTIA INTRALUMINAL DE VASOS DO PESCOÇO OU TRONCOS SUPRA-AÓRTICOS (COM STENT NÃO RECOBERTO)";8872,89
"0406040141 COLOCAÇÃO PERCUTÂNEA DE FILTRO DE VEIA CAVA (NA TROMBOSE VENOSA PERIFÉRICA E EMBOLIA PULMONAR)";33563,16
"0406040168 CORREÇÃO ENDOVASCULAR DE ANEURISMA / DISSECÇÃO DA AORTA ABDOMINAL E ILÍACAS COM ENDOPRÓTESE BIF";27511,69
"0406040184 CORREÇÃO ENDOVASCULAR DE ANEURISMA / DISSECÇÃO DAS ILÍACAS COM ENDOPRÓTESE TUBULAR";16867,35
"0406040192 EMBOLIZAÇÃO ARTERIAL DE HEMORRAGIA DIGESTIVA (INCLUI PROCEDIMENTO ENDOSCÓPICO E/OU ESTUDO ANGIOGR";4576,45
"0406040206 EMBOLIZAÇÃO DE MALFORMAÇÃO VASCULAR ARTÉRIO-VENOSA (INCLUI ESTUDO ANGIOGRÁFICO)";19364,36
"0406040230 FIBRINOLISE INTRAVASCULAR POR CATETER (INCLUI FIBRINOLÍTICO)";3135,31
"0406040320 TRATAMENTO ENDOVASCULAR DE FISTULAS ARTERIOVENOSAS";1598,04
"0406050015 ESTUDO ELETROFISIOLÓGICO DIAGNÓSTICO";15897,52
"0406050040 ESTUDO ELETROFISIOLÓGICO TERAPÊUTICO I (ABLAÇÃO DE TAQUICARDIA POR REENTRADA NODAL DE VIAS ANÔMA";44020,59
"0406050066 ESTUDO ELETROFISIOLÓGICO TERAPÊUTICO II (ABLAÇÃO DAS VIAS ANÔMALAS MÚLTIPLAS)";4440,39
"0407010149 GASTRECTOMIA TOTAL";3090,95
"0407010165 GASTROENTEROANASTOMOSE";13358,39
"0407010173 GASTROPLASTIA C/ DERIVACAO INTESTINAL";749288,14
"0407010190 GASTRORRAFIA";3370,81
"0407010211 GASTROSTOMIA";7889,28
"0407010270 TRATAMENTO CIRURGICO DE ACALASIA (CARDIOMIOPLASTIA)";2286,21
"0407010297 TRATAMENTO CIRURGICO DE REFLUXO GASTROESOFAGICO";1532,12
"0407020039 APENDICECTOMIA";94678,49
"0407020047 APENDICECTOMIA VIDEOLAPAROSCOPICA";8690,29
"0407020063 COLECTOMIA PARCIAL (HEMICOLECTOMIA)";15818,34
"0407020098 COLORRAFIA POR VIA ABDOMINAL";699,05
"0407020101 COLOSTOMIA";20076,75
"0407020136 DRENAGEM DE ABSCESSO ANU-RETAL";795,75
"0407020152 DRENAGEM DE HEMATOMA / ABSCESSO RETRO-RETAL";953,54
"0407020179 ENTERECTOMIA";49423,02
"0407020187 ENTEROANASTOMOSE (QUALQUER SEGMENTO)";7482,36
"0407020209 ENTEROTOMIA E/OU ENTERORRAFIA C/ SUTURA / RESSECCAO (QUALQUER SEGMENTO)";7530,03
"0407020217 ESFINCTEROTOMIA INTERNA E TRATAMENTO DE FISSURA ANAL";493,62
"0407020225 EXCISAO DE LESAO / TUMOR ANU-RETAL";359,35
"0407020250 FECHAMENTO DE FISTULA DE COLON";1567,67
"0407020276 FISTULECTOMIA / FISTULOTOMIA ANAL";2957,98
"0407020284 HEMORROIDECTOMIA";7177,12
"0407020306 JEJUNOSTOMIA / ILEOSTOMIA";13039,25
"0407020322 PLASTICA ANAL EXTERNA / ESFINCTEROPLASTIA ANAL";178,24
"0407020349 PROCTOPEXIA ABDOMINAL POR PROCIDENCIA DO RETO";440,83
"0407020403 RETOSSIGMOIDECTOMIA ABDOMINAL";29458,96
"0407020462 TRATAMENTO CIRURGICO DE MA ROTACAO INTESTINAL";2954,99
"0407030018 ANASTOMOSE BILEO-DIGESTIVA";1423,47
"0407030026 COLECISTECTOMIA";51710,68
"0407030034 COLECISTECTOMIA VIDEOLAPAROSCOPICA";101085,77
"0407030042 COLECISTOSTOMIA";694,60
"0407030050 COLEDOCOPLASTIA";691,88
"0407030069 COLEDOCOTOMIA C/ OU S/ COLECISTECTOMIA";2817,34
"0407030077 COLEDOCOTOMIA VIDEOLAPAROSCOPICA";7002,13
"0407030123 ESPLENECTOMIA";9618,39
"0407030166 HEPATOTOMIA E DRENAGEM DE ABSCESSO / CISTO";1288,60
"0407030212 PANCREATO-ENTEROSTOMIA";5536,89
"0407040021 DRENAGEM DE ABSCESSO SUBFRENICO";15496,01
"0407040030 DRENAGEM DE HEMATOMA / ABSCESSO PRE-PERITONEAL";461,83
"0407040064 HERNIOPLASTIA EPIGASTRICA";7966,13
"0407040080 HERNIOPLASTIA INCISIONAL";20124,66
"0407040099 HERNIOPLASTIA INGUINAL (BILATERAL)";4539,80
"0407040102 HERNIOPLASTIA INGUINAL / CRURAL (UNILATERAL)";48741,94
"0407040110 HERNIOPLASTIA RECIDIVANTE";2106,15
"0407040129 HERNIOPLASTIA UMBILICAL";36831,21
"0407040137 HERNIORRAFIA INGUINAL VIDEOLAPAROSCOPICA";376,95
"0407040145 HERNIORRAFIA S/ RESSECCAO INTESTINAL (HERNIA ESTRANGULADA )";629,90
"0407040161 LAPAROTOMIA EXPLORADORA";37788,40
"0407040170 LAPAROTOMIA VIDEOLAPAROSCOPICA PARA DRENAGEM E/OU BIOPSIA";14622,51
"0407040188 LIBERACAO DE ADERENCIAS INTESTINAIS";6452,41
"0407040200 PERITONIOSTOMIA C/ TELA INORGANICA";18413,49
"0407040242 RESSUTURA DE PAREDE ABDOMINAL (POR DEISCENCIA TOTAL / EVISCERACAO)";21162,83
"0408010053 ARTROPLASTIA ESCAPULO-UMERAL TOTAL";2614,62
"0408010134 REDUCAO INCRUENTA DE LUXAÇÃO OU FRATURA / LUXAÇÃO ESCÁPULO-UMERAL";720,60
"0408010142 REPARO DE ROTURA DO MANGUITO ROTADOR (INCLUI PROCEDIMENTOS DESCOMPRESSIVOS)";2420,81
"0408010150 TRATAMENTO CIRÚRGICO DE FRATURA DA CLAVÍCULA";15952,54
"0408010185 TRATAMENTO CIRURGICO DE LUXACAO / FRATURA-LUXACAO ACROMIO-CLAVICULAR";7074,34
"0408010215 TRATAMENTO CIRURGICO DE LUXACAO RECIDIVANTE / HABITUAL DE ARTICULACAO ESCAPULO-UMERAL";679,15
"0408020024 AMPUTAÇÃO / DESARTICULAÇÃO DE MEMBROS SUPERIORES";6296,81
"0408020059 ARTROPLASTIA DE CABEÇA DO RÁDIO";1061,03
"0408020172 REDUÇÃO INCRUENTA DE FRATURA / LESÃO FISARIA NO PUNHO";167,42
"0408020202 REDUÇÃO INCRUENTA DE FRATURA DIAFISARIA DOS OSSOS DO ANTEBRAÇO";348,80
"0408020296 REVISÃO CIRÚGICA DE COTO DE AMPUTAÇÃO DO MEMBRO SUPERIOR (EXCETO MÃO)";171,94
"0408020326 TRATAMENTO CIRÚRGICO DE DEDO EM GATILHO";498,30
"0408020334 TRATAMENTO CIRÚRGICO DE FRATURA / LESÃO FISARIA DA EXTREMIDADE PROXIMAL DO UMERO";6327,84
"0408020342 TRATAMENTO CIRÚRGICO DE FRATURA / LESÃO FISARIA DAS FALANGES DA MÃO (COM FIXAÇÃO)";5987,87
"0408020350 TRATAMENTO CIRÚRGICO DE FRATURA / LESÃO FISARIA DE EPI~CÔNDILO / EPITROCLEA DO ÚMERO";1150,42
"0408020369 TRATAMENTO CIRÚRGICO DE FRATURA / LESÃO FISARIA DO CÔNDILO / TRÓCLEA/APOFISE CORONÓIDE DO ULNA /";3756,31
"0408020377 TRATAMENTO CIRÚRGICO DE FRATURA / LESÃO FISARIA DOS METACARPIANOS";3700,75
"0408020385 TRATAMENTO CIRÚRGICO DE FRATURA / LESÃO FISARIA SUPRACONDILIANA DO ÚMERO";6074,09
"0408020393 TRATAMENTO CIRÚGICO DE FRATURA DA DIÁFISE DO ÚMERO";14106,35
"0408020407 TRATAMENTO CIRÚRGICO DE FRATURA DA EXTREMIDADE / METÁFISE DISTAL DOS OSSOS DO ANTEBRAÇO";36802,77
"0408020415 TRATAMENTO CIRÚRGICO DE FRATURA DE EXTREMIDADES / METÁFISE PROXIMAL DOS OSSOS DO ANTEBRAÇO";4160,61
"0408020423 TRATAMENTO CIRÚRGICO DE FRATURA DIAFISARIA DE AMBOS OS OSSOS DO ANTEBRAÇO (C/ SINTESE)";12998,59
"0408020431 TRATAMENTO CIRÚRGICO DE FRATURA DIAFISARIA ÚNICA DO RÁDIO / DA ULNA";5658,87
"0408020440 TRATAMENTO CIRÚRGICO DE FRATURA LESÃO FISARIA DOS OSSOS DO ANTEBRAÇO";540,00
"0408020458 TRATAMENTO CIRÚRGICO DE FRATURA-LUXAÇÃO DE GALEAZZI / MONTEGGIA / ESSEX-LOPRESTI";2417,67
"0408020466 TRATAMENTO CIRÚRGICO DE FRATURAS DOS OSSOS DO CARPO";1758,09
"0408020512 TRATAMENTO CIRÚRGICO DE LUXAÇÃO / FRATURA-LUXAÇÃO CARPO-METACARPIANA";1161,70
"0408020520 TRATAMENTO CIRÚRGICO DE LUXAÇÃO / FRATURA-LUXACAO DOS OSSOS DO CARPO";2309,41
"0408020539 TRATAMENTO CIRÚRGICO DE LUXAÇÃO / FRATURA-LUXAÇÃO METACARPO-FALANGIANA";2065,52
"0408020547 TRATAMENTO CIRÚRGICO DE LUXAÇÃO OU FRATURA-LUXAÇÃO DO COTOVELO";3548,26
"0408020563 TRATAMENTO CIRÚRGICO DE PSEUDARTROSE / RETARDO DE CONSOLIDAÇÃO / PERDA ÓSSEA DO ANTEBRAÇO";1126,57
"0408020580 TRATAMENTO CIRÚRGICO DE PSEUDARTROSE AO NÍVEL DO COTOVELO";476,08
"0408020610 TRATAMENTO CIRÚRGICO DE ROTURA / DESINSERÇÃO / ARRANCAMENTO CAPSULO-TENO-LIGAMENTAR NA MÃO";455,86
"0408020644 TRATAMENTO CIRÚRGICO P/ CENTRALIZAÇÃO DO PUNHO";280,43
"0408030011 ARTRODESE CERVICAL / CERVICO TORÁCICA POSTERIOR CINCO NIVEIS";12505,39
"0408030100 ARTRODESE CERVICAL ANTERIOR QUATRO NÍVEIS";11869,69
"0408030240 ARTRODESE TORACO-LOMBO-SACRA ANTERIOR DOIS NIVEIS";14068,78
"0408030275 ARTRODESE TORACO-LOMBO-SACRA POSTERIOR TRÊS NIVEIS";12965,84
"0408030283 ARTRODESE TORACO-LOMBO-SACRA POSTERIOR CINCO NÍVEIS";11160,98
"0408030291 ARTRODESE TORACO-LOMBO-SACRA POSTERIOR, DOIS NÍVEIS,";5824,57
"0408030380 DISCECTOMIA CERVICAL / LOMBAR / LOMBO-SACRA POR VIA POSTERIOR (1 NÍVEL C/ MICROSCÓPIO)";6158,25
"0408030399 DISCECTOMIA CERVICAL / LOMBAR / LOMBO-SACRA POR VIA POSTERIOR (UM NÍVEL)";2726,46
"0408030402 DISCECTOMIA CERVICAL / LOMBAR / LOMBO-SACRA POR VIA POSTERIOR (DOIS NÍVEIS)";2817,60
"0408030410 DISCECTOMIA CERVICAL / LOMBAR / LOMBO-SACRA POR VIA POSTERIOR (DOIS OU MAIS NÍVEIS C/ MICROSCÓPIO)";6044,86
"0408030453 DISCECTOMIA TORACO-LOMBO-SACRA POR VIA ANTERIOR (C/ 2 OU MAIS NÍVEIS)";3822,56
"0408030526 RESSEÇÃO DE COCCIX";294,27
"0408040050 ARTROPLASTIA PARCIAL DE QUADRIL";22791,29
"0408040076 ARTROPLASTIA DE REVISÃO OU RECONSTRUÇÃO DO QUADRIL";12112,71
"0408040084 ARTROPLASTIA TOTAL PRIMÁRIA DO QUADRIL CIMENTADA";1797,95
"0408040092 ARTROPLASTIA TOTAL PRIMARIA DO QUADRIL NÃO CIMENTADA / HÍBRIDA";76285,20
"0408040130 EPIFISIODESE FEMORAL PROXIMAL IN SITU";1330,82
"0408040173 REDUÇÃO INCRUENTA C/ MANIPULAÇÃO DE LUXAÇÃO ESPONTANEA / PROGRESSIVA DO QUADRIL COM APLICAÇÃO";1425,46
"0408040190 REDUÇÃO INCRUENTA DE LUXAÇÃO COXOFEMORAL TRAUMÁTICA / PÓS-ARTROPLASTIA";466,52
"0408040297 TRATAMENTO CIRÚRGICO DE FRATURA DO ACETÁBULO";4403,17
"0408040335 TRATAMENTO CIRURGICO DE LUXACAO COXO-FEMORAL TRAUMATICA / POS-ARTROPLASTIA";2692,67
"0408050012 AMPUTACAO / DESARTICULACAO DE MEMBROS INFERIORES";20566,82
"0408050020 AMPUTACAO / DESARTICULACAO DE PE E TARSO";1175,94
"0408050039 ARTRODESE DE MEDIAS / GRANDES ARTICULACOES DE MEMBRO INFERIOR";742,24
"0408050047 ARTROPLASTIA DE JOELHO (NAO CONVENCIONAL)";2207,29
"0408050055 ARTROPLASTIA TOTAL DE JOELHO - REVISAO / RECONSTRUCAO";14333,36
"0408050063 ARTROPLASTIA TOTAL PRIMARIA DO JOELHO";57677,67
"0408050080 FASCIOTOMIA DE MEMBROS INFERIORES";337,74
"0408050136 RECONSTRUCAO DE TENDAO PATELAR / TENDAO QUADRICIPITAL";3472,31
"0408050144 RECONSTRUCAO LIGAMENTAR DO TORNOZELO";432,14
"0408050160 RECONSTRUCAO LIGAMENTAR INTRA-ARTICULAR DO JOELHO (CRUZADO ANTERIOR)";13317,37
"0408050195 REDUCAO INCRUENTA DA LUXACAO / FRATURA-LUXACAO METATARSO-FALANGIANA / INTERFALANGIANA DO PE";167,26
"0408050225 REDUCAO INCRUENTA DE FRATURA DIAFISARIA / LESAO FISARIA DISTAL DA TIBIA C/ OU S/ FRATURA DA FIBULA";4369,64
"0408050233 REDUCAO INCRUENTA DE FRATURA DIAFISARIA / LESAO FISARIA PROXIMAL DO FEMUR";271,31
"0408050330 REVISAO CIRURGICA DE COTO DE AMPUTACAO EM MEMBRO INFERIOR (EXCETO DEDOS DO PE)";1359,61
"0408050438 TRATAMENTO CIRURGICO DE AVULSAO DO GRANDE E DO PEQUENO TROCANTER";772,12
"0408050462 TRATAMENTO CIRURGICO DE FRATURA / LESAO FISARIA DOS METATARSIANOS";2480,40
"0408050470 TRATAMENTO CIRURGICO DE FRATURA / LESAO FISARIA DOS PODODACTILOS";1102,44
"0408050489 TRATAMENTO CIRURGICO DE FRATURA / LESAO FISARIA PROXIMAL (COLO) DO FEMUR (SINTESE)";55529,90
"0408050497 TRATAMENTO CIRÚRGICO DE FRATURA BIMALEOLAR / TRIMALEOLAR / DA FRATURA-LUXAÇÃO DO TORNOZELO";22356,71
"0408050500 TRATAMENTO CIRÚRGICO DE FRATURA DA DIÁFISE DA TÍBIA";65585,95
"0408050519 TRATAMENTO CIRÚRGICO DE FRATURA DA DIÁFISE DO FÊMUR";78459,48
"0408050527 TRATAMENTO CIRÚRGICO DE FRATURA DA PATELA POR FIXAÇÃO INTERNA";4246,89
"0408050535 TRATAMENTO CIRÚRGICO DE FRATURA DO CALCÂNEO";2652,25
"0408050543 TRATAMENTO CIRÚRGICO DE FRATURA DO PILÃO TIBIAL";10381,64
"0408050551 TRATAMENTO CIRÚRGICO DE FRATURA DO PLANALTO TIBIAL";11800,52
"0408050578 TRATAMENTO CIRÚRGICO DE FRATURA DO TORNOZELO UNIMALEOLAR";19612,96
"0408050608 TRATAMENTO CIRÚRGICO DE FRATURA LESÃO FISÁRIA DISTAL DE TÍBIA";5166,76
"0408050616 TRATAMENTO CIRÚRGICO DE FRATURA SUBTROCANTERIANA";7203,05
"0408050624 TRATAMENTO CIRÚRGICO DE FRATURA SUPRACONDILEANA DO FÊMUR (METÁFISE DISTAL)";6127,05
"0408050632 TRATAMENTO CIRÚRGICO DE FRATURA TRANSTROCANTERIANA";104329,22
"0408050659 TRATAMENTO CIRÚRGICO DE HALUX VALGUS C/ OSTEOTOMIA DO PRIMEIRO OSSO METATARSIANO";3471,33
"0408050683 TRATAMENTO CIRÚRGICO DE LUXAÇÃO / FRATURA-LUXAÇÃO AO NÍVEL DO JOELHO";1125,50
"0408050691 TRATAMENTO CIRÚRGICO DE LUXAÇÃO / FRATURA-LUXAÇÃO METATARSO-FALANGIANA / INTER-FALANGIANA";831,26
"0408050713 TRATAMENTO CIRÚRGICO DE LUXAÇÃO / FRATURA-LUXAÇÃO TARSO-METATARSICA";3005,47
"0408050764 TRATAMENTO CIRÚRGICO DE PÉ TORTO CONGÊNITO";1136,24
"0408050772 TRATAMENTO CIRÚRGICO DE PÉ TORTO CONGÊNITO INVETERADO";360,52
"0408050837 TRATAMENTO CIRÚRGICO DE PSEUDARTROSE / RETARDO DE CONSOLIDAÇÃO / PERDA ÓSSEA METÁFISE DISTAL DO";2112,57
"0408050861 TRATAMENTO CIRÚRGICO DE PSEUDARTROSE / RETARDO DE CONSOLIDAÇÃO / PERDA ÓSSEA DA DIÁFISE TIBIAL";774,08
"0408050888 TRATAMENTO CIRÚRGICO DE ROTURA DE MENISCO COM SUTURA MENISCAL UNI / BICOMPATIMENTAL";1457,78
"0408050896 TRATAMENTO CIRÚRGICO DE ROTURA DO MENISCO COM MENISCECTOMIA PARCIAL / TOTAL";4178,64
"0408060042 AMPUTAÇÃO / DESARTICULAÇÃO DE DEDO";13835,92
"0408060093 DESCOMPRESSÃO COM ESVAZIAMENTO MEDULAR POR BROCAGEM / VIA CORTICOTOMIA";1755,68
"0408060123 EXPLORAÇÃO ARTICULAR C/ OU S/ SINOVECTOMIA DE MÉDIAS / GRANDES ARTICULAÇÕES";583,66
"0408060158 MANIPULAÇÃO ARTICULAR";244,02
"0408060190 OSTEOTOMIA DE OSSOS LONGOS EXCETO DA MÃO E DO PÉ";948,94
"0408060255 RESSECÇÃO DE TUMOR E RECONSTRUÇÃO C/ TRANSPORTE ÓSSEO";1286,49
"0408060271 RESSECÇÃO DE TUMOR ÓSSEO E RECONSTRUÇÃO C/ ENXERTO";1134,68
"0408060310 RESSECÇÃO SIMPLES DE TUMOR ÓSSEO / DE PARTES MOLES";766,41
"0408060352 RETIRADA DE FIO OU PINO INTRA-ÓSSEO";1297,13
"0408060360 RETIRADA DE FIXADOR EXTERNO";6356,24
"0408060379 RETIRADA DE PLACA E/OU PARAFUSOS";22926,30
"0408060387 RETIRADA DE PRÓTESE DE SUBSTITUIÇÃO DE GRANDES ARTICULAÇÕES (OMBRO / COTOVELO / QUADRIL / JOELHO";858,22
"0408060395 RETIRADA DE PRÓTESE DE SUBSTITUIÇÃO EM PEQUENAS E MÉDIAS ARTICULAÇÕES";2150,04
"0408060425 REVISÃO CIRÚRGICA DE COTO DE AMPUTAÇÃO DOS DEDOS";1756,46
"0408060441 TENÓLISE";458,80
"0408060450 TENOMIORRAFIA";2800,63
"0408060476 TENOPLASTIA OU ENXERTO DE TENDÃO UNICO";1373,10
"0408060484 TENORRAFIA ÚNICA EM TÚNEL OSTEO-FIBROSO";3483,88
"0408060557 TRATAMENTO CIRÚRGICO DE ARTRITE INFECCIOSA (GRANDES E MÉDIAS ARTICULAÇÕES)";840,40
"0408060573 TRATAMENTO CIRÚRGICO DE DEDO EM MARTELO / EM GARRA (MÃO E PÉ)";1085,59
"0408060590 TRATAMENTO CIRÚRGICO DE FRATURA VICIOSAMENTE CONSOLIDADA DOS OSSOS LONGOS EXCETO DA MÃO E DO PÉ";1104,02
"0408060620 TRATAMENTO CIRÚRGICO DE INFECÇÃO PÓS-ARTROPLASTIA (GRANDES ARTICULAÇÕES)";2098,80
"0408060662 TRATAMENTO CIRÚRGICO DE POLIDACTILIA ARTICULADA";232,28
"0409010022 CISTECTOMIA PARCIAL";1695,54
"0409010065 CISTOLITOTOMIA E/OU RETIRADA DE CORPO ESTRANHO DA BEXIGA";8689,36
"0409010090 CISTOSTOMIA";3166,57
"0409010170 INSTALACAO ENDOSCOPICA DE CATETER DUPLO J";41396,15
"0409010189 LITOTRIPSIA";426,99
"0409010197 LOMBOTOMIA";6005,31
"0409010200 NEFRECTOMIA PARCIAL";4034,01
"0409010219 NEFRECTOMIA TOTAL";11239,68
"0409010235 NEFROLITOTOMIA PERCUTANEA";2636,19
"0409010286 NEFROSTOMIA C/ OU S/ DRENAGEM";7800,01
"0409010294 NEFROSTOMIA PERCUTANEA";3545,14
"0409010316 PIELOLITOTOMIA";4445,35
"0409010324 PIELOPLASTIA";2243,28
"0409010383 RESSECCAO ENDOSCOPICA DE LESAO VESICAL";2538,49
"0409010391 RETIRADA PERCUTANEA DE CALCULO URETERAL C/ CATETER";619,66
"0409010480 TRATAMENTO CIRURGICO DE HEMORRAGIA VESICAL (FORMOLIZACAO DA BEXIGA)";4272,94
"0409010561 URETEROLITOTOMIA";46799,18
"0409010570 URETEROPLASTIA";808,96
"0409020079 MEATOTOMIA SIMPLES";330,78
"0409020176 URETROTOMIA INTERNA";1353,78
"0409030023 PROSTATECTOMIA SUPRAPÚBICA";14516,06
"0409030040 RESSECCAO ENDOSCOPICA DE PROSTATA";7240,39
"0409040118 NEOSTOMIA DE EPIDIDIMO / CANAL DEFERENTE";227,87
"0409040126 ORQUIDOPEXIA BILATERAL";770,64
"0409040134 ORQUIDOPEXIA UNILATERAL";1182,01
"0409040142 ORQUIECTOMIA SUBCAPSULAR BILATERAL";5133,09
"0409040169 ORQUIECTOMIA UNILATERAL";716,26
"0409040215 TRATAMENTO CIRURGICO DE HIDROCELE";1396,77
"0409040231 TRATAMENTO CIRURGICO DE VARICOCELE";772,68
"0409050032 CORRECAO DE HIPOSPADIA (1O TEMPO)";745,92
"0409050040 CORRECAO DE HIPOSPADIA (2O TEMPO)";1896,80
"0409050075 PLASTICA TOTAL DO PENIS";1515,06
"0409050083 POSTECTOMIA";13812,56
"0409050091 REIMPLANTE DE PENIS";3918,51
"0409060011 CERCLAGEM DE COLO DO UTERO";1068,04
"0409060046 CURETAGEM SEMIOTICA C/ OU S/ DILATACAO DO COLO DO UTERO";2439,61
"0409060054 CURETAGEM UTERINA EM MOLA HIDATIFORME";484,14
"0409060100 HISTERECTOMIA (POR VIA VAGINAL)";5542,28
"0409060119 HISTERECTOMIA C/ ANEXECTOMIA (UNI / BILATERAL)";38344,91
"0409060135 HISTERECTOMIA TOTAL";31091,95
"0409060178 HISTEROSCOPIA CIRURGICA C/ RESSECTOSCOPIO";1824,02
"0409060186 LAQUEADURA TUBARIA";22000,22
"0409060216 OOFORECTOMIA / OOFOROPLASTIA";10916,89
"0409060232 SALPINGECTOMIA UNI / BILATERAL";7607,39
"0409060240 SALPINGECTOMIA VIDEOLAPAROSCOPICA";424,84
"0409070033 COLPOCLEISE (CIRURGIA DE LE FORT)";351,38
"0409070050 COLPOPERINEOPLASTIA ANTERIOR E POSTERIOR";3307,01
"0409070068 COLPOPERINEOPLASTIA POSTERIOR";745,08
"0409070149 EXERESE DE CISTO VAGINAL";372,54
"0409070157 EXERESE DE GLANDULA DE BARTHOLIN / SKENE";224,68
"0409070190 MARSUPIALIZACAO DE GLANDULA DE BARTOLIN";163,96
"0409070220 TRATAMENTO CIRURGICO DE COAPTACAO DE NINFAS";119,35
"0409070262 TRATAMENTO CIRURGICO DE HIPERTROFIA DOS PEQUENOS LABIOS";119,35
"0409070270 TRATAMENTO CIRURGICO DE INCONTINENCIA URINARIA POR VIA VAGINAL";6339,13
"0410010014 DRENAGEM DE ABSCESSO DE MAMA";842,39
"0410010073 PLASTICA MAMARIA FEMININA NAO ESTETICA";1036,34
"0410010081 PLASTICA MAMARIA MASCULINA";925,28
"0410010090 PLASTICA MAMARIA RECONSTRUTIVA - POS MASTECTOMIA C/ IMPLANTE DE PROTESE";927,92
"0410010111 SETORECTOMIA / QUADRANTECTOMIA";1803,20
"0410010138 RETIRADA DE PRÓTESE MAMÁRIA UNILATERAL EM CASOS DE COMPLICAÇÃO DA PRÓTESE MAMÁRIA IMPLANTADA";314,00
"0411010026 PARTO CESARIANO EM GESTACAO DE ALTO RISCO";194776,80
"0411010034 PARTO CESARIANO";221757,17
"0411010042 PARTO CESARIANO C/ LAQUEADURA TUBARIA";74218,43
"0411020013 CURETAGEM POS-ABORTAMENTO / PUERPERAL";11992,88
"0411020030 HISTERECTOMIA PUERPERAL";487,12
"0411020048 TRATAMENTO CIRURGICO DE GRAVIDEZ ECTOPICA";1741,78
"0412010100 TRAQUEOPLASTIA E/OU LARINGOTRAQUEOPLASTIA";4477,16
"0412020033 MEDIASTINOTOMIA P/ DRENAGEM";4336,42
"0412020050 RESSECÇÃO DE TUMOR DO MEDIASTINO";2519,01
"0412030012 DESCORTICAÇÃO PULMONAR";6672,32
"0412030101 DRENAGEM TUBULAR PLEURAL ABERTA (PLEUROSTOMIA)";42095,68
"0412040166 TORACOSTOMIA COM DRENAGEM PLEURAL FECHADA";66211,61
"0412040174 TORACOTOMIA EXPLORADORA";2030,34
"0412040182 TRATAMENTO CIRÚRGICO DE DEFEITOS CONGÊNITOS DO TORAX";2746,18
"0412050048 LOBECTOMIA PULMONAR";14078,50
"0412050064 PNEUMOMECTOMIA";8483,72
"0412050137 CIRURGIA REDUTORA DO VOLUME PULMONAR (QUALQUER METODO)";2880,27
"0413010066 TRATAMENTO DE GRANDE QUEIMADO";77417,13
"0413010082 TRATAMENTO DE MEDIO QUEIMADO";55779,72
"0413010090 TRATAMENTO DE PEQUENO QUEIMADO";3157,05
"0413040135 RECONSTRUCAO DO HELIX DA ORELHA";281,72
"0413040143 RECONSTRUCAO TOTAL DE ORELHA (MULTIPLOS ESTAGIOS)";338,95
"0413040178 TRATAMENTO CIRURGICO DE LESOES EXTENSAS C/ PERDA DE SUBSTANCIA CUTANEA";9545,72
"0413040208 TRATAMENTO CIRURGICO DE RETRACAO CICATRICIAL DOS DEDOS DA MAO/PE S/ COMPROMETIMENTO TENDINOSO";256,23
"0413040216 TRATAMENTO CIRÚRGICO DE RETRAÇÃO CICATRICIAL EM UM ESTÁGIO";7983,59
"0413040232 TRATAMENTO CIRURGICO NAO ESTETICO DA ORELHA";1959,40
"0414010329 TRATAMENTO CIRÚRGICO DE CISTO DO COMPLEXO MAXILO-MANDIBULAR";929,78
"0414020413 TRATAMENTO ODONTOLOGICO PARA PACIENTES COM NECESSIDADES ESPECIAIS";1320,80
"0415010012 TRATAMENTO C/ CIRURGIAS MULTIPLAS";2127531,18
"0415020034 OUTROS PROCEDIMENTOS COM CIRURGIAS SEQUENCIAIS";55943,09
